=== Page 4 ===
款,項,"金
額",,,
"総務費
2
1 総務管理費
2 徴税費
3 戸籍住民基本台帳費
4 選挙費
5 統計調査費
6 監査委員費",1 総務管理費,"7,848,456",,,
"総務費
2
1 総務管理費
2 徴税費
3 戸籍住民基本台帳費
4 選挙費
5 統計調査費
6 監査委員費",2 徴税費,"929,257",,,
"総務費
2
1 総務管理費
2 徴税費
3 戸籍住民基本台帳費
4 選挙費
5 統計調査費
6 監査委員費",3 戸籍住民基本台帳費,"663,894",,,
"総務費
2
1 総務管理費
2 徴税費
3 戸籍住民基本台帳費
4 選挙費
5 統計調査費
6 監査委員費",4 選挙費,"72,917",,,
"総務費
2
1 総務管理費
2 徴税費
3 戸籍住民基本台帳費
4 選挙費
5 統計調査費
6 監査委員費",5 統計調査費,"36,169",,,
"総務費
2
1 総務管理費
2 徴税費
3 戸籍住民基本台帳費
4 選挙費
5 統計調査費
6 監査委員費",6 監査委員費,"65,461",,,
"民生費
3
1 社会福祉費
2 老人福祉費
3 児童福祉費
4 障害者福祉費
5 生活保護費
6 災害救助費","民生費
3
1 社会福祉費
2 老人福祉費
3 児童福祉費
4 障害者福祉費
5 生活保護費
6 災害救助費","43,341,693",,,
"民生費
3
1 社会福祉費
2 老人福祉費
3 児童福祉費
4 障害者福祉費
5 生活保護費
6 災害救助費",1 社会福祉費,"5,901,076",,,
"民生費
3
1 社会福祉費
2 老人福祉費
3 児童福祉費
4 障害者福祉費
5 生活保護費
6 災害救助費",2 老人福祉費,"3,967,791",,,
"民生費
3
1 社会福祉費
2 老人福祉費
3 児童福祉費
4 障害者福祉費
5 生活保護費
6 災害救助費",3 児童福祉費,"18,672,331",,,
"民生費
3
1 社会福祉費
2 老人福祉費
3 児童福祉費
4 障害者福祉費
5 生活保護費
6 災害救助費",4 障害者福祉費,"10,931,297",,,
"民生費
3
1 社会福祉費
2 老人福祉費
3 児童福祉費
4 障害者福祉費
5 生活保護費
6 災害救助費",5 生活保護費,"3,868,390",,,
"民生費
3
1 社会福祉費
2 老人福祉費
3 児童福祉費
4 障害者福祉費
5 生活保護費
6 災害救助費",6 災害救助費,808,,,
"衛生費
4
1 保健衛生費
2 清掃費
3 環境対策費
4 病院費
5 上水道費","衛生費
4
1 保健衛生費
2 清掃費
3 環境対策費
4 病院費
5 上水道費","10,396,106",,,
"衛生費
4
1 保健衛生費
2 清掃費
3 環境対策費
4 病院費
5 上水道費",1 保健衛生費,"3,049,304",,,
"衛生費
4
1 保健衛生費
2 清掃費
3 環境対策費
4 病院費
5 上水道費",2 清掃費,"3,463,928",,,
"衛生費
4
1 保健衛生費
2 清掃費
3 環境対策費
4 病院費
5 上水道費",3 環境対策費,"925,484",,,
"衛生費
4
1 保健衛生費
2 清掃費
3 環境対策費
4 病院費
5 上水道費",4 病院費,"2,948,526",,,
"衛生費
4
1 保健衛生費
2 清掃費
3 環境対策費
4 病院費
5 上水道費",5 上水道費,"8,864",,,
"労働費
5
1 労働費","労働費
5
1 労働費","159,963",,,
"労働費
5
1 労働費",1 労働費,"159,963",,,
"農林水産業費
6
1 農業費","農林水産業費
6
1 農業費","1,010,897",,,
