ページ,目,本年度予算額,前年度予算額,比較,区分,金額,説明
80,13 富士・愛鷹山麓地域森林機能保全基金繰入金,"4,048","5,155","△1,107",能保全基金繰,,
80,13 富士・愛鷹山麓地域森林機能保全基金繰入金,"4,048","5,155","△1,107",入金,,
80,14 職員退職手当基金繰入金,"84,315",0,"84,315",1 職員退職手当,"84,315","職員退職手当充当 84,315"
80,14 職員退職手当基金繰入金,"84,315",0,"84,315",基金繰入金,,
80,15 企業版ふるさと納税基金繰入金,"43,000","1,300","41,700",1 企業版ふるさ,"43,000","企画調査費充当 1,000"
80,15 企業版ふるさと納税基金繰入金,"43,000","1,300","41,700",と納税基金繰,,"ＳＤＧｓ推進事業費充当 4,000"
80,15 企業版ふるさと納税基金繰入金,"43,000","1,300","41,700",入金,,"田子の浦港にぎわい推進事業費充当 36,500"
81,16 防災・減災基金繰入金,"32,223",0,"32,223",1 防災・減災基,"32,223",防災危機管理事務費充当 505
81,16 防災・減災基金繰入金,"32,223",0,"32,223",金繰入金,,"防災啓発事業費充当 9,000"
81,16 防災・減災基金繰入金,"32,223",0,"32,223",,,"備蓄資機材整備事業費充当 22,718"
81,新病院建設基金繰入金,0,"300,000","△300,000",,,（廃目）
81,計,"2,009,536","947,047","1,062,489",,,
82,1 前年度繰越金,"千円
1,000,000","千円
1,000,000","千円
0",1 前年度繰越金,"1,000,000","前年度繰越金 1,000,000"
82,計,"1,000,000","1,000,000",0,,,
83,1 延滞金,"千円
25,000","千円
25,000","千円
0",1 延滞金,"25,000","市税等に係る延滞金 25,000"
83,2 加算金,1,1,0,1 加算金,1,加算金 1
83,3 過料,1,1,0,1 過料,1,"過料
1"
83,計,"25,002","25,002",0,,,
83,1 預金利子,"9,187","5,961","3,226",,,
83,計,"9,187","5,961","3,226",,,
83,1 重度医療費等貸付金収入,"1,000","1,000",0,,,
83,中小企業経営活性化資金貸付金収入,0,"2,000","△2,000",,,
83,計,"1,000","3,000","△2,000",,,
83,1 農林水産業費受託事業収入,"5,703","5,443",260,1 農業費受託事,"5,703","農地中間管理事業受託金 5,703"
83,1 農林水産業費受託事業収入,"5,703","5,443",260,業収入,,
83,計,"5,703","5,443",260,,,
84,1 滞納処分費,"千円
1,601","千円
1,437","千円
164",1 滞納処分費,"千円
1,601","千円
滞納処分費 1,601"
84,2 弁償金,125,65,60,1 弁償金,125,弁償金 125
84,3 違約金及び延納利息,1,1,0,1 違約金及び延,1,違約金及び延納利息 1
84,3 違約金及び延納利息,1,1,0,納利息,,
84,4 障害者福祉費納付金,"205,497","196,820","8,677",1 障害者福祉費,"33,487","心身障害者扶養共済制度給付金 28,570"
84,4 障害者福祉費納付金,"205,497","196,820","8,677",納付金,,"心身障害者扶養共済制度掛金 4,917"
84,4 障害者福祉費納付金,"205,497","196,820","8,677",2 障害児施設納,"172,010","ふじやま学園日中一時支援事業委託費 5,960"
84,4 障害者福祉費納付金,"205,497","196,820","8,677",付金,,"ふじやま学園短期入所給付費 5,738"
84,4 障害者福祉費納付金,"205,497","196,820","8,677",,,"ふじやま学園施設入所給付費 21,806"
84,4 障害者福祉費納付金,"205,497","196,820","8,677",,,"計画相談支援給付費 7,032"
84,4 障害者福祉費納付金,"205,497","196,820","8,677",,,"こども発達センター施設利用給付費 131,474"
84,5 環境対策費納付金,"8,427","8,060",367,1 公害病補償給,"8,427","環境保全協会納付金 8,427"
84,5 環境対策費納付金,"8,427","8,060",367,付費納付金,,
84,6 雑入,"1,716,832","3,037,583","△1,320,751",1 議会費雑入,"1,014","議会タブレット議員負担金 1,013"
84,6 雑入,"1,716,832","3,037,583","△1,320,751",,,その他雑入 1
84,6 雑入,"1,716,832","3,037,583","△1,320,751",2 総務費雑入,"254,687","会計年度任用職員雇用保険料負担金 10,563"
84,6 雑入,"1,716,832","3,037,583","△1,320,751",,,"特別排水路使用料 1,413"
84,6 雑入,"1,716,832","3,037,583","△1,320,751",,,"自動車等損害賠償保険金収入 1,500"
84,6 雑入,"1,716,832","3,037,583","△1,320,751",,,"建物共済保険金収入 1,000"
84,6 雑入,"1,716,832","3,037,583","△1,320,751",,,"電気料等使用者負担金 8,455"
84,6 雑入,"1,716,832","3,037,583","△1,320,751",,,私用電話料 354
84,6 雑入,"1,716,832","3,037,583","△1,320,751",,,公衆電話使用料 15
84,6 雑入,"1,716,832","3,037,583","△1,320,751",,,公衆電話手数料 1
84,6 雑入,"1,716,832","3,037,583","△1,320,751",,,"自治総合センター助成金 2,500"
84,6 雑入,"1,716,832","3,037,583","△1,320,751",,,"クリーンエネルギー自動車導入促進補助金 2,200"
84,6 雑入,"1,716,832","3,037,583","△1,320,751",,,"県市町村振興協会助成金 32,647"
85,,,,,,千円,"千円
自動車重量税還付金 10"
85,,,,,,,"ウェブサイトバナー広告料 2,496"
85,,,,,,,"静岡地方税滞納整理機構派遣職員負担金 7,524"
85,,,,,,,庁内ＯＡ機器修理保険金収入 100
85,,,,,,,"市県民税還付未済金 7,000"
85,,,,,,,"印刷機等利用者負担金 3,120"
85,,,,,,,富士地区男女共同参画連絡会負担金 50
85,,,,,,,"自動販売機等設置手数料 17,170"
85,,,,,,,電力売払収入 77
85,,,,,,,電話使用料 4
85,,,,,,,"地域活性化センター助成金 1,994"
85,,,,,,,"印刷物等広告料 3,061"
85,,,,,,,過年度分森林環境税精算金 164
85,,,,,,,魅力発見バスツアー参加者負担金 192
85,,,,,,,"高齢者免許返納対策実証調査支援金 6,016"
85,,,,,,,"デジタル基盤改革支援補助金 142,756"
85,,,,,,,"損害賠償保険金収入 1,000"
85,,,,,,,国際交流ラウンジ講座参加者負担金 193
85,,,,,,,広域まちづくり研修事業負担金 54
85,,,,,,,原動機付自転車等標識送付負担金 32
85,,,,,,,自動車損害賠償共済等還付金 60
85,,,,,,,古紙売払収入 234
85,,,,,,,さもにゃんＬＩＮＥスタンプ分配金 14
85,,,,,,,公文書複写料 110
85,,,,,,,原動機付自転車等標識売払金 22
85,,,,,,,その他雑入 586
85,,,,,3 民生費雑入,"259,204","保育園職員等給食費負担金 26,728"
85,,,,,,,"くすの木学園運営管理負担金 5,176"
85,,,,,,,"ふじやま学園職員給食費負担金 2,141"
86,,,,,,千円,"千円
こども発達センター職員等給食費負担金 2,409"
86,,,,,,,"生活保護費返還金 50,000"
86,,,,,,,"児童扶養手当等返還金 1,500"
86,,,,,,,"こども医療費高額療養費等返還金 107,598"
86,,,,,,,"電気料等使用者負担金 5,737"
86,,,,,,,"日本スポーツ振興センター災害共済給付金収入 8,021"
86,,,,,,,障害児（者）施設福祉実習等負担金 350
86,,,,,,,"県後期高齢者医療広域連合派遣職員負担金 6,335"
86,,,,,,,"県後期高齢者医療広域連合負担金前年度精算金 17,000"
86,,,,,,,電力売払収入 1
86,,,,,,,"日本赤十字社職員負担金 2,066"
86,,,,,,,"県市町村振興協会助成金 2,232"
86,,,,,,,地域密着型サービス拠点等施設等整備費補助金返還金 371
86,,,,,,,家庭的保育事業等負担金 75
86,,,,,,,研修システム利用者負担金 420
86,,,,,,,"障害児通所給付費返還金 1,223"
86,,,,,,,"高齢者保健事業・介護予防等一体的実施事業受託金 18,249"
86,,,,,,,"給付費等請求管理システム利用者負担金 1,452"
86,,,,,,,特別障害者手当等過年度分返還金 100
86,,,,,,,その他雑入 20
86,,,,,4 衛生費雑入,"473,383","電気料等使用者負担金 1,151"
86,,,,,,,私用電話料 14
86,,,,,,,公衆電話使用料 2
86,,,,,,,"看護教育実習等負担金 1,978"
86,,,,,,,"電力売払収入 353,107"
86,,,,,,,"資源物売払収入 87,032"
86,,,,,,,"ブナ林創造事業負担金 1,000"
86,,,,,,,"日本容器包装リサイクル協会還元金 24,830"
86,,,,,,,"印刷物等広告料 1,930"
87,,,,,,千円,"千円
講座等参加者負担金 20"
87,,,,,,,看護師実務研修参加者負担金 80
87,,,,,,,県市町村振興協会助成金 826
87,,,,,,,自動販売機等設置手数料 887
87,,,,,,,自動車等損害賠償保険金収入 100
87,,,,,,,猫の適正管理推進モデル事業実施地区補助金 200
87,,,,,,,臨地実習負担金 30
87,,,,,,,しずおかカーボンニュートラル金融コンソーシアム補助金 12
87,,,,,,,その他雑入 184
87,,,,,5 労働費雑入,"1,370",電気料等使用者負担金 794
87,,,,,,,県市町村振興協会助成金 276
87,,,,,,,労働啓発事業協賛金 300
87,,,,,6 農林水産業費,"8,719",農業者年金業務受託手数料 249
87,,,,,雑入,,"農業施設管理費負担金 1,500"
87,,,,,,,ファミリー農園貸付料 489
87,,,,,,,農業アカデミー参加者負担金 90
87,,,,,,,"農業用施設受益者負担金 3,961"
87,,,,,,,江尾江川河川改修用地補償金 365
87,,,,,,,林業関係イベント助成金 350
87,,,,,,,"バンジージャンプ利用料収入還元金 1,500"
87,,,,,,,木工教室参加者負担金 215
87,,,,,7 商工費雑入,"5,931","産業交流展示場運営管理事業収益還元金 2,078"
87,,,,,,,工場夜景事業参加者負担金 36
87,,,,,,,かぐや姫イベント参加負担金 503
87,,,,,,,観光カメラ利用料 522
87,,,,,,,富士山麓環境共生事業地内転貸借貸付料 213
87,,,,,,,"国際交流支援事業助成金 2,579"
88,,,,,8 土木費雑入,"千円
20,537","千円
新富士駅等駅前広場維持管理負担金 2,355"
88,,,,,,,"自動車等損害賠償保険金収入 2,000"
88,,,,,,,電気料等使用者負担金 800
88,,,,,,,放置自転車等売却収入 165
88,,,,,,,"高速道路防災対策等助成金 1,300"
88,,,,,,,"県市町村振興協会助成金 1,384"
88,,,,,,,自動販売機等設置手数料 123
88,,,,,,,公園維持管理協力金 405
88,,,,,,,"コミュニティ交通協賛金 2,430"
88,,,,,,,上堀団地外灯改修工事補償金 293
88,,,,,,,"第二東名ＩＣ周辺地区土地区画整理事業清算徴収金 3,249"
88,,,,,,,"地域公共交通計画改定清算金 6,000"
88,,,,,,,田子の浦港にぎわい推進事業地内貸付料 33
88,,,,,9 消防費雑入,"57,932","消防団員退職報償金 20,250"
88,,,,,,,"消防団員等公務災害補償費 2,413"
88,,,,,,,消防団員賞じゅつ見舞金 200
88,,,,,,,"高速道路救急業務支弁費 4,564"
88,,,,,,,"消防学校派遣職員負担金 9,603"
88,,,,,,,"自動車等損害賠償保険金収入 1,000"
88,,,,,,,水防団員等公務災害補償費 200
88,,,,,,,防災ラジオ配布事業負担金 360
88,,,,,,,"県都市自治振興協会交付金 1,000"
88,,,,,,,"消防業務賠償責任保険金収入 1,000"
88,,,,,,,電気料等使用者負担金 141
88,,,,,,,"防災ヘリコプター派遣職員負担金 10,454"
88,,,,,,,"県市町村振興協会助成金 2,967"
88,,,,,,,自動車損害賠償責任保険還付金 10
88,,,,,,,自動販売機等設置手数料 432
88,,,,,,,"全国市長会防災・減災費用保険金収入 3,000"
89,,,,,,千円,"千円
消防団員福祉共済加入事務費等収入 190"
89,,,,,,,自動車損害賠償共済等還付金 120
89,,,,,,,その他雑入 28
89,,,,,10 教育費雑入,"634,055","会計年度任用職員雇用保険料負担金 7,557"
89,,,,,,,"スポーツ振興くじ助成金 6,327"
89,,,,,,,"市民大学参加者負担金 4,010"
89,,,,,,,"青少年体験交流事業参加者負担金 1,539"
89,,,,,,,言語障害児指導相談事業費補助金 355
89,,,,,,,市展出品者負担金 330
89,,,,,,,市民歴史講座参加者負担金 160
89,,,,,,,有償頒布物送付負担金 6
89,,,,,,,"遺跡発掘調査受託金 19,942"
89,,,,,,,博物館事業参加者負担金 154
89,,,,,,,"まちづくりセンター講座参加者負担金 2,519"
89,,,,,,,図書館利用者カード再発行料 123
89,,,,,,,各種スポーツ事業参加者負担金 620
89,,,,,,,電気料等使用者負担金 883
89,,,,,,,給付費等請求管理システム利用者負担金 184
89,,,,,,,雫石町少年交流事業参加者負担金 420
89,,,,,,,青年教養講座参加者負担金 326
89,,,,,,,学校保健会保護者負担金 163
89,,,,,,,印刷機等利用者負担金 185
89,,,,,,,"日本スポーツ振興センター災害共済給付金収入 11,500"
89,,,,,,,"スポーツ施設派遣職員負担金 12,000"
89,,,,,,,"全国市長会学校災害賠償補償保険金収入 2,000"
89,,,,,,,電力売払収入 721
89,,,,,,,印刷物等広告料 256
89,,,,,,,県市町村振興協会助成金 444
89,,,,,,,ステップスクール・ふじ利用者施設見学等負担金 19
90,計,"1,932,483","3,243,966","△1,311,483",,,
91,1 総務債,"千円
479,700","千円
362,800","千円
116,900",1 総務管理債,"千円
479,700","千円
財産管理事業債 121,500"
91,1 総務債,"千円
479,700","千円
362,800","千円
116,900",,,"庁舎改修事業債 98,200"
91,1 総務債,"千円
479,700","千円
362,800","千円
116,900",,,"まちづくりセンター改修事業債 170,800"
91,1 総務債,"千円
479,700","千円
362,800","千円
116,900",,,"まちづくりセンター用地取得事業債 29,000"
91,1 総務債,"千円
479,700","千円
362,800","千円
116,900",,,"ワンストップ総合窓口システム更新事業債 60,200"
91,2 民生債,"217,900","162,200","55,700",1 児童福祉債,"152,100","放課後児童クラブ整備事業債 14,000"
91,2 民生債,"217,900","162,200","55,700",,,"保育園施設等改修事業債 23,200"
91,2 民生債,"217,900","162,200","55,700",,,"私立保育園等整備費補助事業債 114,900"
91,2 民生債,"217,900","162,200","55,700",2 障害福祉債,"65,800","ふじやま学園改修事業債 40,400"
91,2 民生債,"217,900","162,200","55,700",,,"こども発達センター改修事業債 25,400"
91,3 農林水産業債,"158,900","117,400","41,500",1 農業債,"106,300","農道等整備事業債 106,300"
91,3 農林水産業債,"158,900","117,400","41,500",2 林業債,"52,600","林道等整備事業債 52,600"
91,4 商工債,"221,000","20,200","200,800",1 商工債,"221,000","産業交流展示場改修事業債 146,400"
91,4 商工債,"221,000","20,200","200,800",,,"観光施設整備事業債 74,600"
91,5 土木債,"4,036,300","2,792,900","1,243,400",1 土木管理債,"36,800","道路河川管理事業債 21,800"
91,5 土木債,"4,036,300","2,792,900","1,243,400",,,"急傾斜地整備事業債 15,000"
91,5 土木債,"4,036,300","2,792,900","1,243,400",2 道路橋梁債,"1,428,600","道路整備事業債 1,428,600"
91,5 土木債,"4,036,300","2,792,900","1,243,400",3 河川債,"393,000","河川整備事業債 393,000"
91,5 土木債,"4,036,300","2,792,900","1,243,400",4 港湾債,"110,600","港湾整備事業債 110,600"
91,5 土木債,"4,036,300","2,792,900","1,243,400",5 都市計画債,"1,207,000","都市計画事業債 1,207,000"
91,5 土木債,"4,036,300","2,792,900","1,243,400",,,"都市計画 85,300"
91,5 土木債,"4,036,300","2,792,900","1,243,400",,,"街 路
358,800"
91,5 土木債,"4,036,300","2,792,900","1,243,400",,,"市街地整備 762,900"
91,5 土木債,"4,036,300","2,792,900","1,243,400",6 公園債,"382,000","公園整備事業債 382,000"
92,6 消防債,"1,405,200","438,100","967,100",1 消防債,"1,405,200","消防施設整備事業債 1,359,000"
92,6 消防債,"1,405,200","438,100","967,100",,,"防災基盤整備事業債 46,200"
92,7 教育債,"1,067,800","1,289,100","△221,300",1 小学校債,"459,600","小学校空調設備整備事業債 21,700"
92,7 教育債,"1,067,800","1,289,100","△221,300",,,"小学校屋内運動場リニューアル事業債 172,200"
92,7 教育債,"1,067,800","1,289,100","△221,300",,,"小学校校舎等改修事業債 236,200"
92,7 教育債,"1,067,800","1,289,100","△221,300",,,"田子浦小学校校舎改築事業債 29,500"
92,7 教育債,"1,067,800","1,289,100","△221,300",2 中学校債,"400,000","中学校空調設備整備事業債 96,800"
92,7 教育債,"1,067,800","1,289,100","△221,300",,,"中学校校舎等改修事業債 204,900"
92,7 教育債,"1,067,800","1,289,100","△221,300",,,"吉原第一中学校武道場整備事業債 98,300"
92,7 教育債,"1,067,800","1,289,100","△221,300",3 社会教育債,"75,000","文化財整備事業債 30,700"
92,7 教育債,"1,067,800","1,289,100","△221,300",,,"中央図書館改修事業債 44,300"
92,7 教育債,"1,067,800","1,289,100","△221,300",4 体育保健債,"133,200","富士体育館改修事業債 15,600"
92,7 教育債,"1,067,800","1,289,100","△221,300",,,"富士川体育館改修事業債 14,100"
92,7 教育債,"1,067,800","1,289,100","△221,300",,,"総合運動公園施設改修事業債 12,200"
92,7 教育債,"1,067,800","1,289,100","△221,300",,,"砂山公園プール改修事業債 68,300"
92,7 教育債,"1,067,800","1,289,100","△221,300",,,"屋外運動施設改修事業債 23,000"
92,8 災害復旧債,"15,800","36,300","△20,500",1 農林水産業施,"15,800","林業施設災害復旧事業債 15,800"
92,8 災害復旧債,"15,800","36,300","△20,500",設災害復旧債,,
92,衛生債,0,"32,100","△32,100",,,（廃目）
92,労働債,0,"102,000","△102,000",,,（廃目）
92,計,"7,602,600","5,353,100","2,249,500",,,
94,1 議会費,"488,451","499,446","△10,995",1 報酬,"千円
205,920","千円
001 給与費 448,879"
94,1 議会費,"488,451","499,446","△10,995",2 給料,"49,604","001 市議会議員 ３２人 352,146
002 一般職 １１人 96,733
002 議会活動費 38,853"
94,1 議会費,"488,451","499,446","△10,995",3 職員手当等,"126,760","001 市議会議員 ３２人 352,146
002 一般職 １１人 96,733
002 議会活動費 38,853"
94,1 議会費,"488,451","499,446","△10,995",,,001 議会人事管理事業費 442
94,1 議会費,"488,451","499,446","△10,995",管理職手当,"1,925",市議会議員共済会事務負担金 416
94,1 議会費,"488,451","499,446","△10,995",扶養手当,"1,318","002 議事運営事業費 18,183"
94,1 議会費,"488,451","499,446","△10,995",地域手当,"2,119",本会議及び各委員会等運営
94,1 議会費,"488,451","499,446","△10,995",住居手当,291,各委員会等行政視察
94,1 議会費,"488,451","499,446","△10,995","通勤手当
時間外勤務手
当
休日勤務手当","1,319
2,000
50","ペーパーレス会議等対応
タブレット端末運用管理
議場音響・映像設備運用管理
全員協議会室及び委員会室
映像配信システム運用管理"
94,1 議会費,"488,451","499,446","△10,995",期末手当,"12,061","003 議会渉外事業費 1,806"
94,1 議会費,"488,451","499,446","△10,995",勤勉手当,"9,924",全国市議会議長会負担金 925
94,1 議会費,"488,451","499,446","△10,995",議員期末手当,"95,753",東海市議会議長会負担金 44
94,1 議会費,"488,451","499,446","△10,995",4 共済費,"66,595","県市議会議長会負担金 107
全国自治体病院経営都市議会協議会 18
負担金
全国高速自動車道市議会協議会負担金 20
会議、研修会出席者負担金 151"
94,1 議会費,"488,451","499,446","△10,995",7 報償費,190,"県市議会議長会負担金 107
全国自治体病院経営都市議会協議会 18
負担金
全国高速自動車道市議会協議会負担金 20
会議、研修会出席者負担金 151"
94,1 議会費,"488,451","499,446","△10,995",8 旅費,"3,446","県市議会議長会負担金 107
全国自治体病院経営都市議会協議会 18
負担金
全国高速自動車道市議会協議会負担金 20
会議、研修会出席者負担金 151"
94,1 議会費,"488,451","499,446","△10,995",,,"004 議員調査活動事業費 13,140"
94,1 議会費,"488,451","499,446","△10,995",費用弁償,"2,607","政務活動費交付金 12,288"
94,1 議会費,"488,451","499,446","△10,995",普通旅費,9,"005 議会広報事業費 5,282"
94,1 議会費,"488,451","499,446","△10,995",特別旅費,830,議会だより発行
94,1 議会費,"488,451","499,446","△10,995",9 交際費,180,"003 議会事務局運営費 719
001 議会事務局運営費 719
会議、研修会出席者負担金 58"
94,1 議会費,"488,451","499,446","△10,995",10 需用費,"6,264","003 議会事務局運営費 719
001 議会事務局運営費 719
会議、研修会出席者負担金 58"
94,1 議会費,"488,451","499,446","△10,995",消耗品費,732,
95,計,"488,451","499,446","△10,995",,,
96,1 一般管理費,"2,194,678","2,240,363","△45,685",2 給料,"829,876","001 給与費 2,181,100"
96,1 一般管理費,"2,194,678","2,240,363","△45,685",3 職員手当等,"1,074,874","001 特別職 ３人
51,774"
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,"002 一般職 １７９人 2,129,326"
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,"002 職員退職手当基金積立費 5,056"
96,1 一般管理費,"2,194,678","2,240,363","△45,685",管理職手当,"19,847",
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,"001 職員退職手当基金積立事業費 5,056"
96,1 一般管理費,"2,194,678","2,240,363","△45,685",扶養手当,"25,908",
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,職員退職手当基金積立金
96,1 一般管理費,"2,194,678","2,240,363","△45,685",地域手当,"34,512",
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,"003 一般管理費 3,289"
96,1 一般管理費,"2,194,678","2,240,363","△45,685",住居手当,"9,888",
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,"001 市民総合賠償補償保険費 3,289"
96,1 一般管理費,"2,194,678","2,240,363","△45,685",通勤手当,"16,732",
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,塡補限度額
96,1 一般管理費,"2,194,678","2,240,363","△45,685",時間外勤務手,"83,000",身体賠償1人 1億5千万円 1事故 15億円
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,財物賠償1事故 2千万円
96,1 一般管理費,"2,194,678","2,240,363","△45,685",当,,個人情報漏えいによる損害賠償 2億円
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,個人情報漏えいによる対応費用
96,1 一般管理費,"2,194,678","2,240,363","△45,685",休日勤務手当,"1,800",1事故 1千万円 年間 3千万円
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,サイバーリスクによる損害賠償 2億円
96,1 一般管理費,"2,194,678","2,240,363","△45,685",期末手当,"209,847",サイバーリスクによる対応費用
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,1事故 年間 3千万円
96,1 一般管理費,"2,194,678","2,240,363","△45,685",勤勉手当,"159,077",
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,"004 秘書事務費 5,233"
96,1 一般管理費,"2,194,678","2,240,363","△45,685",退職手当,"378,293",
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,"001 秘書事務費 5,233"
96,1 一般管理費,"2,194,678","2,240,363","△45,685",児童手当,"135,970",
96,1 一般管理費,"2,194,678","2,240,363","△45,685",4 共済費,"276,350","一般秘書事務経費
全国市長会分担金 915"
96,1 一般管理費,"2,194,678","2,240,363","△45,685",8 旅費,"1,212",県市長会分担金 999
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,県市政事務研究会分担金 185
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,サンフロント２１懇話会負担金 10
96,1 一般管理費,"2,194,678","2,240,363","△45,685",普通旅費,221,
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,第１４２回東海市長会通常総会負担金 10
96,1 一般管理費,"2,194,678","2,240,363","△45,685",特別旅費,991,
96,1 一般管理費,"2,194,678","2,240,363","△45,685",10 需用費,"1,379","第１４３回東海市長会通常総会負担金 10
９月県定例市長会議負担金 30"
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,県市政事務研究会県外都市行政調査 60
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,負担金
96,1 一般管理費,"2,194,678","2,240,363","△45,685",消耗品費,"1,139",
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,県東部市長会議負担金 60
96,1 一般管理費,"2,194,678","2,240,363","△45,685",食糧費,5,
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,県東部副市長会議負担金 48
96,1 一般管理費,"2,194,678","2,240,363","△45,685",印刷製本費,235,
96,1 一般管理費,"2,194,678","2,240,363","△45,685",11 役務費,"3,289","全国都市問題会議負担金 20
県防衛協会負担金 10"
96,1 一般管理費,"2,194,678","2,240,363","△45,685",,,その他諸会議出席者等負担金 185
97,2 人事管理費,"205,720","201,504","4,216",1 報酬,"56,783","001 給与費 124,049"
97,2 人事管理費,"205,720","201,504","4,216",3 職員手当等,"12,992",001 特別職報酬等審議会委員 １０人 208
97,2 人事管理費,"205,720","201,504","4,216",,,"002 公務災害補償等認定委員会委員 ３人
30"
97,2 人事管理費,"205,720","201,504","4,216",,,"003 公務災害補償等審査会委員 ２人
20"
97,2 人事管理費,"205,720","201,504","4,216",期末手当,"11,120",
97,2 人事管理費,"205,720","201,504","4,216",,,"004 パートタイム会計年度任用職員 123,791"
97,2 人事管理費,"205,720","201,504","4,216",勤勉手当,"1,872",
97,2 人事管理費,"205,720","201,504","4,216",,,"（定数）
健康相談員 1人"
97,2 人事管理費,"205,720","201,504","4,216",4 共済費,"51,832",（定数外）
97,2 人事管理費,"205,720","201,504","4,216",,,就労支援員 3人
97,2 人事管理費,"205,720","201,504","4,216",5 災害補償費,50,不特定 20人
97,2 人事管理費,"205,720","201,504","4,216",7 報償費,"9,540","002 職員管理費 7,594
001 職員採用試験費 3,553"
97,2 人事管理費,"205,720","201,504","4,216",8 旅費,"3,906",受験予想人員 590人
97,2 人事管理費,"205,720","201,504","4,216",,,"002 その他職員管理費 4,041"
97,2 人事管理費,"205,720","201,504","4,216",,,会議、研修会出席者負担金 136
97,2 人事管理費,"205,720","201,504","4,216",費用弁償,"2,444",
97,2 人事管理費,"205,720","201,504","4,216",,,"003 人材育成費 14,131"
97,2 人事管理費,"205,720","201,504","4,216",普通旅費,505,
97,2 人事管理費,"205,720","201,504","4,216",,,"001 人材育成事業費 14,131"
97,2 人事管理費,"205,720","201,504","4,216",特別旅費,957,
97,2 人事管理費,"205,720","201,504","4,216",10 需用費,"6,022","基本研修、専門研修、派遣研修、自主研修
自己啓発活動助成金 400"
97,2 人事管理費,"205,720","201,504","4,216",,,自主研究グループ活動助成金 100
98,3 文書費,"69,625","67,403","2,222",1 報酬,"7,038","001 給与費 10,335"
98,3 文書費,"69,625","67,403","2,222",3 職員手当等,"1,682","001 情報公開審査会委員 ５人
50"
98,3 文書費,"69,625","67,403","2,222",,,"002 個人情報保護審査会委員 ５人
50"
98,3 文書費,"69,625","67,403","2,222",,,"003 行政不服審査会委員 ５人
50"
98,3 文書費,"69,625","67,403","2,222",期末手当,"1,439",
98,3 文書費,"69,625","67,403","2,222",,,"004 パートタイム会計年度任用職員 10,185"
98,3 文書費,"69,625","67,403","2,222",勤勉手当,243,
98,3 文書費,"69,625","67,403","2,222",4 共済費,"1,395","（定数）
事務補助 1人
業務補助 1人
（定数外）
事務補助 1人"
99,4 市史編さん,"4,484","4,190",294,1 報酬,"2,988","001 給与費 4,349"
99,費,,,,,,"001 パートタイム会計年度任用職員 4,349"
100,5 広報広聴費,"94,479","98,016","△3,537",1 報酬,"4,021","001 給与費 4,241"
100,5 広報広聴費,"94,479","98,016","△3,537",7 報償費,100,"001 パートタイム会計年度任用職員 4,241"
100,5 広報広聴費,"94,479","98,016","△3,537",,,（定数外）
100,5 広報広聴費,"94,479","98,016","△3,537",8 旅費,314,総合案内コンシェルジュ 4人
100,5 広報広聴費,"94,479","98,016","△3,537",,,"002 広報費 66,131"
100,5 広報広聴費,"94,479","98,016","△3,537",,,"001 広報ふじ作成費 37,094"
100,5 広報広聴費,"94,479","98,016","△3,537",費用弁償,220,
100,5 広報広聴費,"94,479","98,016","△3,537",,,広報ふじ 年12回（月1回）発行
100,5 広報広聴費,"94,479","98,016","△3,537",普通旅費,8,
100,5 広報広聴費,"94,479","98,016","△3,537",,,"002 市政カレンダー作成費 6,750"
100,5 広報広聴費,"94,479","98,016","△3,537",特別旅費,86,
100,5 広報広聴費,"94,479","98,016","△3,537",10 需用費,"42,021","003 コミュニティＦＭ事業費 10,696
コミュニティＦＭ番組等広告料"
100,5 広報広聴費,"94,479","98,016","△3,537",,,市制60周年記念
100,5 広報広聴費,"94,479","98,016","△3,537",,,特別番組広告料
100,5 広報広聴費,"94,479","98,016","△3,537",消耗品費,701,
100,5 広報広聴費,"94,479","98,016","△3,537",,,"004 その他広報費 11,591"
100,5 広報広聴費,"94,479","98,016","△3,537",印刷製本費,"41,220",
100,5 広報広聴費,"94,479","98,016","△3,537",,,報道関係協賛広告料
100,5 広報広聴費,"94,479","98,016","△3,537",修繕料,100,
100,5 広報広聴費,"94,479","98,016","△3,537",,,市政記録写真データ管理・共有システム運用
