ページ,目,本年度予算額,前年度予算額,比較,区分,金額,説明
44,3 教育費負担金,"257,910","261,628","△3,718",,,"中国残留邦人配偶者支援金 1,152×10／10 1,152"
44,3 教育費負担金,"257,910","261,628","△3,718",,,生活保護費負担金過年度分 1
44,3 教育費負担金,"257,910","261,628","△3,718",1 保健衛生費負,"1,500","新型コロナウイルス予防接種健康被害給付費負担金 1,500"
44,3 教育費負担金,"257,910","261,628","△3,718",担金,,"1,500×10／10"
44,3 教育費負担金,"257,910","261,628","△3,718",1 幼稚園費負担,"257,910","施設型・地域型保育給付費負担金 256,831"
44,計,"15,463,656","14,885,888","577,768",金,,施設型給付
44,計,"15,463,656","14,885,888","577,768",,,"1号分 694,140×0.74×1／2"
44,計,"15,463,656","14,885,888","577,768",,,"子育てのための施設等利用給付交付金 1,079"
44,計,"15,463,656","14,885,888","577,768",,,"私立幼稚園 2,159×1／2"
45,目,本年度予算額,前年度予算額,"比
較",節,節,"説
明"
45,目,本年度予算額,前年度予算額,"比
較","区
分","金
額","説
明"
45,目,本年度予算額,前年度予算額,"比
較",1 総務管理費補,"千円
91,240","千円
地域少子化対策重点推進交付金 5,428"
45,目,本年度予算額,前年度予算額,"比
較",助金,,"子育てシティプロモーション事業 4,000×1／2 2,000"
45,目,本年度予算額,前年度予算額,"比
較",,,"移住定住者の受け皿づくり等支援 4,605×2／3 3,070"
45,目,本年度予算額,前年度予算額,"比
較",,,男性の家事・子育て支援事業 100×2／3 66
45,目,本年度予算額,前年度予算額,"比
較",,,公用車を活用した子育てプロモーション 585×1／2 292
45,目,本年度予算額,前年度予算額,"比
較",,,"地域未来交付金 76,845"
45,目,本年度予算額,前年度予算額,"比
較",,,若者ビジネスプラン作成チャレンジ支援 816
45,目,本年度予算額,前年度予算額,"比
較",,,"1,633×1／2"
45,1 総務費補助金,"千円
168,955","千円
100,841","千円
68,114",,,"高等教育機関等誘致検討事業 5,989×1／2 2,994"
45,1 総務費補助金,"千円
168,955","千円
100,841","千円
68,114",,,"フィールドワーク等活性化事業 12,223×1／2 6,111"
45,1 総務費補助金,"千円
168,955","千円
100,841","千円
68,114",,,"ワンストップ総合窓口システム更新事業 66,924"
45,1 総務費補助金,"千円
168,955","千円
100,841","千円
68,114",,,"133,849×1／2"
45,1 総務費補助金,"千円
168,955","千円
100,841","千円
68,114",,,"地域女性活躍推進交付金 1,801"
45,1 総務費補助金,"千円
168,955","千円
100,841","千円
68,114",,,"男女共同参画推進員事業 1,200×1／2 600
（アドバイザー派遣）"
45,1 総務費補助金,"千円
168,955","千円
100,841","千円
68,114",,,"女性のデジタルスキル習得事業 1,602×3／4 1,201"
45,1 総務費補助金,"千円
168,955","千円
100,841","千円
68,114",,,"個人番号カード交付事務費補助金 4,592"
45,1 総務費補助金,"千円
168,955","千円
100,841","千円
68,114",,,"マイナポータル手続支援 4,592×10／10"
45,1 総務費補助金,"千円
168,955","千円
100,841","千円
68,114",,,"外国人受入環境整備交付金 2,574"
45,2 民生費補助金,"1,144,132","913,828","230,304",,,"運営事業 5,149×1／2"
45,2 民生費補助金,"1,144,132","913,828","230,304",2 戸籍住民基本,"77,715","個人番号カード交付事務費補助金 77,715"
45,2 民生費補助金,"1,144,132","913,828","230,304",台帳費補助金,,"77,715×10／10"
45,2 民生費補助金,"1,144,132","913,828","230,304",1 社会福祉費補,"102,422","重層的支援体制整備事業交付金 48,174"
45,2 民生費補助金,"1,144,132","913,828","230,304",助金,,多機関協働事業 519×1／2 259
45,2 民生費補助金,"1,144,132","913,828","230,304",,,"自立相談支援事業 32,084×3／4 24,063"
45,2 民生費補助金,"1,144,132","913,828","230,304",,,"参加支援事業 40,425×1／2 20,212"
45,2 民生費補助金,"1,144,132","913,828","230,304",,,"生活困窮者支援等のための地域づくり事業 3,640"
45,2 民生費補助金,"1,144,132","913,828","230,304",,,"7,280×1／2"
45,2 民生費補助金,"1,144,132","913,828","230,304",,,"地域少子化対策重点推進交付金 23,720"
46,目,本年度予算額,前年度予算額,"比
較",節,節,"説
明"
46,目,本年度予算額,前年度予算額,"比
較","区
分","金
額","説
明"
46,目,本年度予算額,前年度予算額,"比
較",,千円,"千円
結婚新生活支援事業 34,200×2／3 22,800"
46,目,本年度予算額,前年度予算額,"比
較",,,"結婚支援重点推進事業 1,380×2／3 920"
46,目,本年度予算額,前年度予算額,"比
較",,,"生活困窮者就労準備支援事業費等補助金 23,780"
46,目,本年度予算額,前年度予算額,"比
較",,,"居住支援事業 2,983×2／3 1,988"
46,目,本年度予算額,前年度予算額,"比
較",,,"学習支援事業 21,183×1／2 10,591"
46,目,本年度予算額,前年度予算額,"比
較",,,"就労準備支援事業（生活困窮者・被保護者分） 7,137"
46,目,本年度予算額,前年度予算額,"比
較",,,"10,706×2／3"
46,目,本年度予算額,前年度予算額,"比
較",,,"家計改善支援事業 6,096×2／3 4,064"
46,目,本年度予算額,前年度予算額,"比
較",,,"女性保護費補助金 6,748"
46,目,本年度予算額,前年度予算額,"比
較",,,困難な問題を抱える女性支援推進等事業
46,目,本年度予算額,前年度予算額,"比
較",,,"13,497×1／2"
46,目,本年度予算額,前年度予算額,"比
較",2 老人福祉費補,"175,511","介護保険事業費補助金 5,840"
46,目,本年度予算額,前年度予算額,"比
較",助金,,"介護保険システム改修 11,681×1／2"
46,,千円,千円,千円,,,"生活困窮者就労準備支援事業費等補助金 13,230"
46,,千円,千円,千円,,,成年後見制度利用促進体制整備推進事業
46,,千円,千円,千円,,,"26,461×1／2"
46,,千円,千円,千円,,,"重層的支援体制整備事業交付金 150,053"
46,,千円,千円,千円,,,"終活支援事業 8,200×2／3 5,466"
46,,千円,千円,千円,,,"地域包括支援センター運営事業 338,693×0.385 130,396"
46,,千円,千円,千円,,,"地域介護予防活動支援事業 1,220×0.2＋29 273"
46,,千円,千円,千円,,,"生活支援体制整備事業 36,151×0.385 13,918"
46,,千円,千円,千円,,,"地域未来交付金 6,388"
46,,千円,千円,千円,,,"要介護認定訪問調査タブレット導入事業 4,431"
46,,千円,千円,千円,,,"8,863×1／2"
46,,千円,千円,千円,,,"介護認定審査会オンライン審査システム導入事業 1,022"
46,,千円,千円,千円,,,"2,044×1／2"
46,,千円,千円,千円,,,"要介護認定照会システム導入事業 1,870×1／2 935"
47,目,本年度予算額,前年度予算額,"比
較",節,節,"説
明"
47,目,本年度予算額,前年度予算額,"比
較","区
分","金
額","説
明"
47,目,本年度予算額,前年度予算額,"比
較",3 児童福祉費補,"千円
793,103","千円
重層的支援体制整備事業交付金 82,672"
47,目,本年度予算額,前年度予算額,"比
較",助金,,"地域子育て支援拠点事業 115,048×1／3 38,349"
47,目,本年度予算額,前年度予算額,"比
較",,,"利用者支援事業（こども家庭センター型） 32,900"
47,目,本年度予算額,前年度予算額,"比
較",,,"49,351×2／3"
47,目,本年度予算額,前年度予算額,"比
較",,,"利用者支援事業（基本型） 8,306×2／3 5,537"
47,目,本年度予算額,前年度予算額,"比
較",,,"利用者支援事業（妊婦等包括相談支援事業型） 3,119"
47,目,本年度予算額,前年度予算額,"比
較",,,"6,239×1／2"
47,目,本年度予算額,前年度予算額,"比
較",,,"利用者支援事業（特定型） 4,151×2／3 2,767"
47,目,本年度予算額,前年度予算額,"比
較",,,"子ども・子育て支援交付金 264,477"
47,目,本年度予算額,前年度予算額,"比
較",,,"ファミリーサポートセンター事業 9,676×1／3 3,225"
47,目,本年度予算額,前年度予算額,"比
較",,,"放課後児童クラブ運営事業 514,090×1／3 171,363"
47,目,本年度予算額,前年度予算額,"比
較",,,児童虐待防止事業 226×1／3 75
47,目,本年度予算額,前年度予算額,"比
較",,,"子育て世帯訪問支援事業 1,014×1／3 338"
47,目,本年度予算額,前年度予算額,"比
較",,,"子育て短期支援事業 4,799×1／3 1,599"
47,,千円,千円,千円,,,"子育て短期専用人員配置支援事業 4,691×1／3 1,563"
47,,千円,千円,千円,,,"一時預かり事業 104,496×1／3 34,832"
47,,千円,千円,千円,,,"一時預かり利用者負担軽減事業 1,568×1／3 522"
47,,千円,千円,千円,,,"延長保育事業 16,639×1／3 5,546"
47,,千円,千円,千円,,,"病児保育事業 135,844×1／3 45,281"
47,,千円,千円,千円,,,実費徴収補足給付事業 400×1／3 133
47,,千円,千円,千円,,,"地域少子化対策重点推進交付金 12,368"
47,,千円,千円,千円,,,"全国自治体シンポジウム開催 3,500×1／2 1,750"
47,,千円,千円,千円,,,"遊び場創出事業 1,800×1／2 900"
47,,千円,千円,千円,,,オフィシャルサポーター運営事業 950×1／2 475
47,,千円,千円,千円,,,子育て応援アプリ運用 660×1／2 330
47,,千円,千円,千円,,,"複合型子育て拠点運営事業 13,370×2／3 8,913"
47,,千円,千円,千円,,,"保育対策総合支援事業費補助金 49,817"
47,,千円,千円,千円,,,"放課後児童クラブへの巡回支援指導事業 4,064×1／2 2,032"
47,,千円,千円,千円,,,"保育所等の質の確保・向上のための取組強化事業 3,666"
48,目,本年度予算額,前年度予算額,"比
較",節,節,"説
明"
48,目,本年度予算額,前年度予算額,"比
較","区
分","金
額","説
明"
48,目,本年度予算額,前年度予算額,"比
較",,千円,"千円
7,332×1／2"
48,目,本年度予算額,前年度予算額,"比
較",,,"若手保育士や保育事業者への巡回支援指導事業 1,702"
48,目,本年度予算額,前年度予算額,"比
較",,,"3,404×1／2"
48,目,本年度予算額,前年度予算額,"比
較",,,"保育所等業務効率化推進事業（公立分） 3,200×2／3 2,133"
48,目,本年度予算額,前年度予算額,"比
較",,,"保育所等業務効率化推進事業（私立分） 2,200×2／3 1,466"
48,目,本年度予算額,前年度予算額,"比
較",,,保育環境改善事業 300×2／3 200
48,目,本年度予算額,前年度予算額,"比
較",,,"保育人材就職支援事業 2,547×1／2 1,273"
48,目,本年度予算額,前年度予算額,"比
較",,,"保育補助者雇上強化事業 74,690×1／2 37,345"
48,目,本年度予算額,前年度予算額,"比
較",,,"子ども・子育て支援体制整備総合推進事業費補助金 5,355"
48,目,本年度予算額,前年度予算額,"比
較",,,放課後児童支援員等研修事業 162×1／2 81
48,目,本年度予算額,前年度予算額,"比
較",,,新卒保育士確保事業 527×1／2 263
48,目,本年度予算額,前年度予算額,"比
較",,,"保育士等研修事業 2,565×1／2 1,282"
48,目,本年度予算額,前年度予算額,"比
較",,,"キャリアアップ研修事業 3,550×1／2 1,775"
48,目,本年度予算額,前年度予算額,"比
較",,,"保育の質の向上のための研修事業 2,160×1／2 1,080"
48,,千円,千円,千円,,,"オンライン研修事業 1,428×1／2 714"
48,,千円,千円,千円,,,発達促進芸術教育事業 320×1／2 160
48,,千円,千円,千円,,,"児童虐待防止対策支援事業費補助金 1,123"
48,,千円,千円,千円,,,"2,247×1／2"
48,,千円,千円,千円,,,"妊婦のための支援給付費補助金 2,287"
48,,千円,千円,千円,,,"妊婦のための支援給付事業 4,574×1／2"
48,,千円,千円,千円,,,"母子家庭等対策総合支援事業費補助金 10,570"
48,,千円,千円,千円,,,"自立支援教育訓練給付金 1,883×3／4 1,412"
48,,千円,千円,千円,,,"高等職業訓練促進給付金 12,062×3／4 9,046"
48,,千円,千円,千円,,,高校卒業程度認定試験合格支援給付金 150×3／4 112
48,,千円,千円,千円,,,"物価高騰対応重点支援地方創生臨時交付金 76,152"
48,,千円,千円,千円,,,"はぐくむＦＵＪＩ出産特別お祝い金 20,425×10／10 20,425"
48,,千円,千円,千円,,,"保育所等給食費物価高騰対策事業 55,727×10／10 55,727"
48,,千円,千円,千円,,,"就学前教育・保育施設整備交付金 288,282"
48,,千円,千円,千円,,,"認定こども園施設整備事業 240,799"
49,目,本年度予算額,前年度予算額,"比
較",節,節,"説
明"
49,目,本年度予算額,前年度予算額,"比
較","区
分","金
額","説
明"
49,目,本年度予算額,前年度予算額,"比
較",,千円,"千円
小規模保育事業所施設整備事業 58,117×1／2 29,058"
49,目,本年度予算額,前年度予算額,"比
較",,,"民間保育所施設整備事業 36,850×1／2 18,425"
49,目,本年度予算額,前年度予算額,"比
較",4 障害者福祉費,"53,984","重層的支援体制整備事業交付金 10,802"
49,目,本年度予算額,前年度予算額,"比
較",補助金,,"障害者相談支援事業 21,548×1／2×0.6 6,464"
49,目,本年度予算額,前年度予算額,"比
較",,,"地域活動支援センター機能強化事業 4,338"
49,目,本年度予算額,前年度予算額,"比
較",,,"14,462×1／2×0.6"
49,目,本年度予算額,前年度予算額,"比
較",,,"地域生活支援事業費補助金 39,687"
49,目,本年度予算額,前年度予算額,"比
較",,,支援促進事業 11×1／2 5
49,目,本年度予算額,前年度予算額,"比
較",,,"相談支援等事業 1,067×1／2×0.6 320"
49,目,本年度予算額,前年度予算額,"比
較",,,"地域生活支援事業 35,316×1／2×0.6 10,594"
49,目,本年度予算額,前年度予算額,"比
較",,,"社会参加促進支援事業 32,689×1／2×0.6 9,806"
49,目,本年度予算額,前年度予算額,"比
較",,,"啓発事業 1,087×1／2×0.6 326"
49,目,本年度予算額,前年度予算額,"比
較",,,障害児者芸術文化活動促進事業 360×1／2×0.6 108
49,,千円,千円,千円,,,"日常生活用具給付事業 61,000×1／2×0.6 18,300"
49,,千円,千円,千円,,,援護助成事業 760×1／2×0.6 228
49,,千円,千円,千円,,,"社会資本整備総合交付金 1,092"
49,,千円,千円,千円,,,"こども発達センター昇降機更新 9,500×0.115"
49,,千円,千円,千円,,,"児童虐待防止対策支援事業費補助金 2,403"
49,,千円,千円,千円,,,"地域障害児支援体制強化事業 3,995×1／2 1,997"
49,,千円,千円,千円,,,地域障害児支援体制充実のためのＩＣＴ化推進事業 406
49,,千円,千円,千円,,,813×1／2
49,,千円,千円,千円,5 生活保護費補,"19,112","生活保護適正実施推進事業補助金 17,037"
49,,千円,千円,千円,助金,,レセプト活用医療扶助適正化事業 340×3／4 255
49,,千円,千円,千円,,,"収入資産状況把握等充実事業 4,742×3／4 3,556"
49,,千円,千円,千円,,,"警察との連携協力体制強化事業 4,898×3／4 3,673"
49,,千円,千円,千円,,,"体制整備強化事業 4,311×3／4 3,233"
49,,千円,千円,千円,,,"追加給付事務体制整備等事業 6,320×10／10 6,320"
49,,千円,千円,千円,,,"生活困窮者就労準備支援事業費等補助金 2,074"
50,目,本年度予算額,前年度予算額,"比
較",節,節,"説
明"
50,目,本年度予算額,前年度予算額,"比
較","区
分","金
額","説
明"
50,目,本年度予算額,前年度予算額,"比
較",,千円,"千円
子どもの進路選択支援事業 3,094×2／3 2,062"
50,目,本年度予算額,前年度予算額,"比
較",,,研修・啓発事業 24×1／2 12
50,目,本年度予算額,前年度予算額,"比
較",,,中国残留邦人等地域生活支援事業補助金 1
50,目,本年度予算額,前年度予算額,"比
較",,,診療報酬明細書点検等充実事業 1×10／10
50,目,本年度予算額,前年度予算額,"比
較",1 保健衛生費補,"39,785","感染症予防事業費等補助金 9,031"
50,目,本年度予算額,前年度予算額,"比
較",助金,,マイナンバー情報連携体制整備事業 322×2／3 214
50,目,本年度予算額,前年度予算額,"比
較",,,"新たなステージに入ったがん検診の
総合支援事業（子宮・乳）"
50,目,本年度予算額,前年度予算額,"比
較",,,検診費 534×1／2 267
50,,千円,千円,千円,,,"事務費 17,100×1／2 8,550"
50,,千円,千円,千円,,,"母子保健衛生費補助金 17,798"
50,,千円,千円,千円,,,"産婦健康診査 12,385×1／2 6,192"
50,,千円,千円,千円,,,"産前・産後サポート事業 4,252×1／2 2,126"
50,,千円,千円,千円,,,"多胎児家事育児サポート事業 1,927×1／2 963"
50,,千円,千円,千円,,,多胎妊婦健康診査 54×1／2 27
50,,千円,千円,千円,,,多胎妊婦交流事業 64×1／2 32
50,,千円,千円,千円,,,栄養強化事業 154×1／2 77
50,,千円,千円,千円,,,"１か月児健康診査 7,800×1／2 3,900"
50,,千円,千円,千円,,,"５歳児健康診査 8,750×1／2 4,375"
50,3 衛生費補助金,"89,740","133,289","△43,549",,,乳幼児健康診査実施支援 212×1／2 106
50,3 衛生費補助金,"89,740","133,289","△43,549",,,母子保健対策強化事業補助金 123
50,3 衛生費補助金,"89,740","133,289","△43,549",,,オンライン活用による妊産婦・乳幼児保健事業
50,3 衛生費補助金,"89,740","133,289","△43,549",,,246×1／2
50,3 衛生費補助金,"89,740","133,289","△43,549",,,"子ども・子育て支援交付金 11,122"
50,3 衛生費補助金,"89,740","133,289","△43,549",,,"乳児家庭全戸訪問事業 9,014×1／3 3,004"
50,3 衛生費補助金,"89,740","133,289","△43,549",,,"養育支援訪問事業 2,101×1／3 700"
50,3 衛生費補助金,"89,740","133,289","△43,549",,,"産後ケア事業 14,837×1／2 7,418"
50,3 衛生費補助金,"89,740","133,289","△43,549",,,"医療施設運営費等補助金 1,711"
50,3 衛生費補助金,"89,740","133,289","△43,549",,,"母子歯科保健事業 1,212×10／10 1,212"
51,目,本年度予算額,前年度予算額,"比
較",節,節,"説
明"
51,目,本年度予算額,前年度予算額,"比
較","区
分","金
額","説
明"
51,目,本年度予算額,前年度予算額,"比
較",,千円,"千円
乳幼児保健事業 388×10／10 388"
51,目,本年度予算額,前年度予算額,"比
較",,,妊産婦保健事業 111×10／10 111
51,目,本年度予算額,前年度予算額,"比
較",2 清掃費補助金,"33,694",地域少子化対策重点推進交付金 814
51,目,本年度予算額,前年度予算額,"比
較",,,"ごみ処理計画推進事業 1,628×1／2"
51,目,本年度予算額,前年度予算額,"比
較",,,"循環型社会形成推進交付金 9,380"
51,,千円,千円,千円,,,"浄化槽設置整備事業 15,756×1／3＋8,256×1／2"
51,,千円,千円,千円,,,"地域脱炭素移行・再エネ推進交付金 23,500"
51,,千円,千円,千円,,,"太陽光発電設備設置事業 23,500×10／10"
51,,千円,千円,千円,3 環境対策費補,"16,261","地域脱炭素移行・再エネ推進交付金 3,089"
51,,千円,千円,千円,助金,,"ゼロカーボンチャレンジ事業 3,089×10／10"
51,,千円,千円,千円,,,特定外来生物防除等対策事業交付金 562
51,,千円,千円,千円,,,特定外来生物早期防除計画策定事業 562×10／10
51,,千円,千円,千円,,,"公害健康被害補償給付支給事務費交付金 12,610"
51,4 商工費補助金,"30,320","26,188","4,132",,,"給付事務費 25,220×1／2"
51,4 商工費補助金,"30,320","26,188","4,132",1 商工費補助金,"30,320","地域未来交付金 16,833"
51,4 商工費補助金,"30,320","26,188","4,132",,,"スタートアップ支援事業 20,545×1／2 10,272"
51,4 商工費補助金,"30,320","26,188","4,132",,,"地方創生起業支援事業 8,134×1／2 4,067"
51,4 商工費補助金,"30,320","26,188","4,132",,,"工場夜景推進事業 4,988×1／2 2,494"
51,4 商工費補助金,"30,320","26,188","4,132",,,"受入環境整備促進事業補助金 3,487"
51,4 商工費補助金,"30,320","26,188","4,132",,,"富士山夢の大橋活用事業 6,974×1／2"
51,5 土木費補助金,"1,895,701","1,735,518","160,183",,,"地方スポーツ振興費補助金 10,000"
51,5 土木費補助金,"1,895,701","1,735,518","160,183",,,"スポーツコミッション推進事業 10,000×10／10"
51,5 土木費補助金,"1,895,701","1,735,518","160,183",1 道路橋梁費補,"307,558","地域未来交付金 24,310"
51,5 土木費補助金,"1,895,701","1,735,518","160,183",助金,,"官民境界確定図等電子化事業 48,620×1／2"
51,5 土木費補助金,"1,895,701","1,735,518","160,183",,,"防災・安全交付金 146,000"
51,5 土木費補助金,"1,895,701","1,735,518","160,183",,,"臨港富士線（青葉町）舗装 35,000×1／2 17,500"
51,5 土木費補助金,"1,895,701","1,735,518","160,183",,,"富士岡中里線舗装 25,000×1／2 12,500"
52,目,本年度予算額,前年度予算額,"比
較",節,節,"説
明"
52,目,本年度予算額,前年度予算額,"比
較","区
分","金
額","説
明"
52,目,本年度予算額,前年度予算額,"比
較",,千円,"千円
厚原込野１６号線舗装 30,000×1／2 15,000"
52,目,本年度予算額,前年度予算額,"比
較",,,"左富士臨港線舗装 30,000×1／2 15,000"
52,目,本年度予算額,前年度予算額,"比
較",,,"吉原沼津線（浮島）舗装 25,000×1／2 12,500"
52,目,本年度予算額,前年度予算額,"比
較",,,"青葉台小学校南地区計画・地区施設 19,000×1／2 9,500"
52,目,本年度予算額,前年度予算額,"比
較",,,"橋梁耐震補強 128,000×1／2 64,000"
52,目,本年度予算額,前年度予算額,"比
較",,,"道路メンテナンス事業補助金 105,930"
52,目,本年度予算額,前年度予算額,"比
較",,,"歩道等維持修繕 12,000×55／100 6,600"
52,目,本年度予算額,前年度予算額,"比
較",,,"橋梁長寿命化修繕 180,600×55／100 99,330"
52,目,本年度予算額,前年度予算額,"比
較",,,"地域脱炭素移行・再エネ推進交付金 31,318"
52,目,本年度予算額,前年度予算額,"比
較",,,"道路照明灯ＥＳＣＯ事業 31,318×10／10"
52,目,本年度予算額,前年度予算額,"比
較",2 河川費補助金,"77,750","防災・安全交付金 42,750"
52,目,本年度予算額,前年度予算額,"比
較",,,"富士早川 30,000×1／3 10,000"
52,目,本年度予算額,前年度予算額,"比
較",,,"下堀（下流部） 27,000×1／3 9,000"
52,,千円,千円,千円,,,"松岡地区水路 34,000×1／2 17,000"
52,,千円,千円,千円,,,"沖田地区水路 13,500×1／2 6,750"
52,,千円,千円,千円,,,"下水道防災事業費補助金 35,000"
52,,千円,千円,千円,,,"沖田地区水路 70,000×1／2"
52,,千円,千円,千円,3 港湾費補助金,"11,800","地域未来交付金 11,800"
52,,千円,千円,千円,,,"田子の浦港にぎわい推進事業 23,600×1／2"
52,,千円,千円,千円,4 都市計画費補,"1,125,319","地域公共交通確保維持改善事業補助金 1,177"
52,,千円,千円,千円,助金,,"鷹岡地区コミュニティ交通実証運行 1,766×2／3"
52,,千円,千円,千円,,,"社会資本整備総合交付金 598,677"
52,,千円,千円,千円,,,"本市場大渕線（傘木上工区） 182,000×1／2 91,000"
52,,千円,千円,千円,,,"本市場大渕線（大渕上工区） 12,000×1／2 6,000"
52,,千円,千円,千円,,,"左富士臨港線（青葉台東工区） 81,000×1／2 40,500"
52,,千円,千円,千円,,,"元吉原富士岡線 24,000×1／2 12,000"
52,,千円,千円,千円,,,"柳島広町９号線 73,392×1／2 36,696"
52,,千円,千円,千円,,,"富士駅北口第一地区再開発事業 387,661"
53,目,本年度予算額,前年度予算額,"比
較",節,節,"説
明"
53,目,本年度予算額,前年度予算額,"比
較","区
分","金
額","説
明"
53,目,本年度予算額,前年度予算額,"比
較",,千円,"千円
18,435×1／3＋763,032×1.5×1／3"
53,目,本年度予算額,前年度予算額,"比
較",,,"防災・省エネまちづくり緊急促進事業 24,820"
53,目,本年度予算額,前年度予算額,"比
較",,,"24,820×10／10"
53,目,本年度予算額,前年度予算額,"比
較",,,"防災・安全交付金 75,550"
53,目,本年度予算額,前年度予算額,"比
較",,,"五味島岩本線（四ツ家工区） 34,500×1／2 17,250"
53,目,本年度予算額,前年度予算額,"比
較",,,"富士駅南口田子浦線 77,000×1／2 38,500"
53,目,本年度予算額,前年度予算額,"比
較",,,"五味島岩本線（四ツ家東工区） 28,500×1／2 14,250"
53,目,本年度予算額,前年度予算額,"比
較",,,ブロック塀等安全確保事業
53,目,本年度予算額,前年度予算額,"比
較",,,"撤去（通学路・避難路等） 270×40件×1／3 3,600"
53,目,本年度予算額,前年度予算額,"比
較",,,"撤去（その他） 120×50件×1／4 1,500"
53,目,本年度予算額,前年度予算額,"比
較",,,改善（通学路・避難路等） 450×3件×1／3 450
53,目,本年度予算額,前年度予算額,"比
較",,,"地域未来交付金 65,868"
53,目,本年度予算額,前年度予算額,"比
較",,,"公共交通利用促進ワークショップ 2,900×1／2 1,450"
53,目,本年度予算額,前年度予算額,"比
較",,,"蒲原病院線及び大北線代替バス実証運行 24,000"
53,,千円,千円,千円,,,"48,000×1／2"
53,,千円,千円,千円,,,"自動運転バス実証運行 80,836×1／2 40,418"
53,,千円,千円,千円,,,"都市構造再編集中支援事業費補助金 321,397"
53,,千円,千円,千円,,,"富士駅北口再整備事業 640,814×1／2 320,407"
53,,千円,千円,千円,,,"まちなか拠点形成事業 1,980×1／2 990"
53,,千円,千円,千円,,,"建築物吹付アスベスト対策事業費補助金 1,100"
53,,千円,千円,千円,,,分析調査 250×2件×10／10 500
53,,千円,千円,千円,,,除去等 900×2件×1／3 600
53,,千円,千円,千円,,,既存建築物耐震性向上事業費補助金 650
53,,千円,千円,千円,,,非木造建築物耐震診断
53,,千円,千円,千円,,,"300×2棟×1／3＋1,350×1棟×1／3"
53,,千円,千円,千円,,,"耐震補強事業費補助金 60,900"
53,,千円,千円,千円,,,"木造住宅耐震補強（補強計画一体型） 500×120戸 60,000"
53,,千円,千円,千円,,,耐震シェルター 400×1台×1／2＋500×1台×1／2 450
53,,千円,千円,千円,,,防災ベッド 400×1台×1／2＋500×1台×1／2 450
54,目,本年度予算額,前年度予算額,"比
較",節,節,"説
明"
54,目,本年度予算額,前年度予算額,"比
較","区
分","金
額","説
明"
54,目,本年度予算額,前年度予算額,"比
較",5 公園費補助金,"千円
231,250","千円
社会資本整備総合交付金 207,250"
54,目,本年度予算額,前年度予算額,"比
較",,,"富士川右岸緑地 398,000×1／2 199,000"
54,目,本年度予算額,前年度予算額,"比
較",,,"都市公園民間活力導入推進事業 16,500×1／2 8,250"
54,目,本年度予算額,前年度予算額,"比
較",,,"防災・安全交付金 15,500"
54,目,本年度予算額,前年度予算額,"比
較",,,"公園施設長寿命化 31,000×1／2"
54,目,本年度予算額,前年度予算額,"比
較",,,"地域脱炭素移行・再エネ推進交付金 8,500"
54,目,本年度予算額,前年度予算額,"比
較",,,"公園照明灯ＥＳＣＯ事業 8,500×10／10"
54,目,本年度予算額,前年度予算額,"比
較",6 住宅費補助金,"142,024","社会資本整備総合交付金 137,936"
54,,千円,千円,千円,,,"市営住宅再編計画策定 6,156×45／100 2,770"
54,,千円,千円,千円,,,第二次市営住宅長寿命化後期計画策定
54,,千円,千円,千円,,,"9,900×45／100 4,455"
54,,千円,千円,千円,,,富士見台団地Ｃ棟全面的改善事業
54,,千円,千円,千円,,,"179×15世帯×45／100＋227,365×45／100 103,522"
54,,千円,千円,千円,,,"清水ヶ丘団地解体 42,000×45／100 18,900"
54,,千円,千円,千円,,,"上堀団地外灯改修 2,926×45／100 1,316"
54,,千円,千円,千円,,,"子育て世帯支援改善事業 6,600×45／100 2,970"
54,,千円,千円,千円,,,"第三次住宅マスタープラン策定 2,486×45／100 1,118"
54,,千円,千円,千円,,,"第二次空家等対策計画策定 6,413×45／100 2,885"
54,6 消防費補助金,"38,656",0,"38,656",,,"空き家対策総合支援事業補助金 3,350"
54,6 消防費補助金,"38,656",0,"38,656",,,"所有者不明土地建物管理人制度予納金 2,000×1／2 1,000"
54,6 消防費補助金,"38,656",0,"38,656",,,"危険空家除却促進補助金 2,700×1／2 1,350"
54,6 消防費補助金,"38,656",0,"38,656",,,"空き家リフォーム支援補助金 2,000×1／2 1,000"
54,6 消防費補助金,"38,656",0,"38,656",,,住宅市場整備推進等事業費補助金 738
54,6 消防費補助金,"38,656",0,"38,656",,,"マンション管理組合活動活性化支援 1,476×1／2"
54,6 消防費補助金,"38,656",0,"38,656",1 消防費補助金,"38,656","消防防災施設整備費補助金 3,996"
54,6 消防費補助金,"38,656",0,"38,656",,,"耐震性貯水槽築造 7,993×1／2"
54,6 消防費補助金,"38,656",0,"38,656",,,"緊急消防援助隊設備整備費補助金 17,113"
54,6 消防費補助金,"38,656",0,"38,656",,,"災害対応特殊救急自動車 34,226×1／2"
55,目,本年度予算額,前年度予算額,"比
較",節,節,"説
明"
55,目,本年度予算額,前年度予算額,"比
較","区
分","金
額","説
明"
55,目,本年度予算額,前年度予算額,"比
較",,千円,"千円
防災・安全交付金 6,083"
55,目,本年度予算額,前年度予算額,"比
較",,,"赤淵川ハザードマップ作成 10,000×1／2 5,000"
55,目,本年度予算額,前年度予算額,"比
較",,,"水害ハザードマップ整備事業 2,167×1／2 1,083"
55,目,本年度予算額,前年度予算額,"比
較",,,"地域未来交付金 11,464"
