ページ,目,本年度予算額,前年度予算額,比較,区分,金額,説明
7,"農林水産業費
6
1 農業費",1 農業費,"575,433",,,,
8,項,"金
額",,,,,
8,,千円,,,,,
8,2 林業費,"432,880",,,,,
8,3 水産業費,"2,584",,,,,
8,"商工費
7
1 商工費","5,525,329",,,,,
8,1 商工費,"5,525,329",,,,,
8,"土木費
8
1 土木管理費
2 道路橋梁費
3 河川費
4 港湾費
5 都市計画費
6 公園費
7 下水道費
8 住宅費","13,904,324",,,,,
8,1 土木管理費,"538,974",,,,,
8,2 道路橋梁費,"2,838,207",,,,,
8,3 河川費,"1,080,955",,,,,
8,4 港湾費,"240,867",,,,,
8,5 都市計画費,"4,867,768",,,,,
8,6 公園費,"1,601,782",,,,,
8,7 下水道費,"1,751,892",,,,,
8,8 住宅費,"983,879",,,,,
8,"消防費
9
1 消防費","6,082,682",,,,,
8,1 消防費,"6,082,682",,,,,
8,"教育費
10
1 教育総務費
2 小学校費
3 中学校費
4 高等学校費
5 幼稚園費
6 社会教育費
7 体育保健費","12,402,939",,,,,
8,1 教育総務費,"1,587,267",,,,,
8,2 小学校費,"1,734,997",,,,,
8,3 中学校費,"1,235,930",,,,,
8,4 高等学校費,"836,164",,,,,
8,5 幼稚園費,"1,070,012",,,,,
8,6 社会教育費,"2,140,689",,,,,
8,7 体育保健費,"3,797,880",,,,,
8,"災害復旧費
11
1 農林水産業施設災害復旧費
2 土木施設災害復旧費","164,720",,,,,
8,1 農林水産業施設災害復旧費,"154,720",,,,,
8,2 土木施設災害復旧費,"10,000",,,,,
9,項,"金
額",,,,,
9,"公債費
12
1 公債費","千円
7,606,642",,,,,
9,1 公債費,"7,606,642",,,,,
9,"諸支出金
13
1 普通財産取得費",100,,,,,
9,1 普通財産取得費,100,,,,,
9,"予備費
14
1 予備費","100,000",,,,,
9,1 予備費,"100,000",,,,,
9,歳 出 合 計,"110,800,000",,,,,
10,"事
項",期 間,"限
度
額",,,,
10,例規集デ ー タ 更 新 業 務,"９年度から
13年度まで",１４，９１３,,,,
10,高齢者運転免許 証 返 納 支 援 事 業,"９年度から
11年度まで",５，２６８,,,,
10,市民交流施設運営 管 理 業 務,"９年度から
13年度まで",３１１，２８５,,,,
10,"まちづくりセンター運営管理 業 務
（令和８ 年 度 設 定 分 ）","９年度から
11年度まで",５２，７２１,,,,
10,"市税コンビニエン ス ス ト ア
収
納
業
務","９年度から
11年度まで",６２，６５６,,,,
10,県議会議員選挙準備 業 務,９年度,１０，１２３,,,,
10,市議会議員選挙準備 業 務,９年度,４４，８７０,,,,
10,"ユニバーサル就 労 支 援 セ ン タ ー
運
営
業
務","９年度から
13年度まで",５４７，４５２,,,,
10,高齢者公共交通支援 事 業,"９年度から
11年度まで",１５，５９６,,,,
10,"こ ど も 発 達 セ ン タ ー
車 両 運 行 管 理 業 務","９年度から
11年度まで",２５，９０５,,,,
10,健康管理システムデータ入力 業 務,"９年度から
11年度まで",５２，９５４,,,,
10,集 団 が ん 検 診 等 業 務,"９年度から
11年度まで",１６３，４４０,,,,
10,丸火自然公園運営 管 理 業 務,"９年度から
13年度まで",３２，３８３,,,,
10,"ふ る さ と 納 税 制 度
特 産 品 配 布 等 業 務","９年度から
11年度まで",寄附金額に応じた諸経費にかかる金額,,,,
10,"サイクル ス テ ー シ ョ ン
運
営
管
理
業
務","９年度から
13年度まで",６８，９５０,,,,
10,地理空間情報等 更 新 包 括 業 務,"９年度から
12年度まで",３０２，０１７,,,,
10,道 路 点 検 補 修 事 業,"９年度から
11年度まで",５１，３６４,,,,
10,道路・公園照明 灯 Ｅ Ｓ Ｃ Ｏ 事 業,"９年度から
18年度まで",１，０６７，６０５,,,,
10,"富 士 駅 公 益 施 設 建 設
Ｊ Ｒ 仮 施 設 整 備 事 業","９年度から
13年度まで",３２，６０６,,,,
11,"事
項",期 間,"限
度
額",,,,
11,"富 士 駅 公 益 施 設 建 設
富士駅前仮設交番 整 備 事 業",９年度,１，９５０,,,,
11,"富 士 駅 北 口 駅 前 広 場
ＪＲ施設 移 転 補 償 事 業","９年度から
13年度まで",１，４４８，９４０,,,,
11,"富士駅北 口 再 開 発 地 内
保 留 床 取 得 事 業","９年度から
11年度まで",１，３１１，８５５,,,,
11,"富 士 駅 北 口 駅 前 広 場
配電設備等移転補償 事 業",９年度,２７９，３００,,,,
11,都市公園 運 営 管 理 業 務,"９年度から
13年度まで",１，２０２，３７０,,,,
11,消 防 車 両 更 新 事 業,９年度,２１０，１００,,,,
11,"小 中 学 校 再 編 計 画
策 定 等 支 援 業 務",９年度,２０，３０１,,,,
11,"小学校屋外バリアフ リ ー
ト イ レ 整 備 事 業","９年度から
13年度まで",５，６５８,,,,
11,田子浦小学校校舎 改 築 事 業,"９年度から
11年度まで",４，１７５，６５０,,,,
11,"少年自然の家・ 丸 火 青 少 年 の 家
運
営
管
理
業
務","９年度から
13年度まで",２７５，６８９,,,,
11,"旧順天堂 田 中 歯 科 医 院
移
築
復
原
事
業",９年度,１３３，１７９,,,,
11,図 書 等 運 搬 業 務,"９年度から
11年度まで",９，３４６,,,,
11,運動施設個別施 設 計 画 策 定 業 務,９年度,８，２７２,,,,
11,"富士市土地開発公社用地取得 事 業
（ 令 和 ８ 年 度 分 ）","９年度から
13年度まで",７２５，４０３,,,,
12,起 債 の 目 的,限 度 額,起債の方法,利 率,,,
12,,,,5.0％以内,,,
12,,,,（ただし、利率見直し,,,
12,,,証書借 入,方式で借り入れる資金,,,
12,財 産 管 理 事 業,"121,500","又
は","について、利率の見直
しを行った後において",,,
12,,,,は、当該見直し後の利,,,
12,,,証券発 行,率）,,,
12,,,,,,,
12,,,,,,,
12,庁 舎 改 修 事 業,"98,200","同
上","同
上",,,
