款,項,目,節,説明,R7,R8
,,,,保育児童扶養義務者負担金（平日食事分）,,43663
,,,,保育児童扶養義務者負担金（土曜日食事分）,,994
,,,,保育児童扶養義務者負担金（家庭的保育事業）,,5983
,,,,保育児童受託分負担金,,14982
,,,,日本スポーツ振興センター災害共済掛金保護者負担金,,293
,,,,一時預かり保育料（食事分）,,656
,,,,乳児等通園支援児童扶養義務者負担金（食事分）,,281
,,,障害者福祉費負担金,,,4526
,,,,ふじやま学園日中一時支援事業保護者負担金,,735
,,,,ふじやま学園短期入所保護者負担金,,974
,,,,ふじやま学園施設入所保護者負担金,,892
,,,,こども発達センター利用者負担金,,1925
,,衛生費負担金,,,452198,468197
,,,保健衛生費負担金,,,34010
,,,,簡易水道統合推進事業費企業会計負担金,,372
,,,,看護専門学校運営費負担金,,33638
,,,環境対策費負担金,,,434187
,,,,富士・愛鷹山麓地域保全措置負担金,,10000
,,,,環境再生保全機構負担金（調定見込額 補償給付費418512*10/10+福祉事業費2182*3/4+健康被害予防事業費4039*10/10）,,424187
,,土木費負担金,,,7527,4663
,,,土木管理費負担金,,,2054
,,,,工事設計監理費企業会計負担金,,2054
,,,道路橋梁費負担金,,,2609
,,,,土木積算システム企業会計等負担金,,2609
,,消防費負担金,,,49992,777339
,,,消防費負担金,,,777339
,,,,消防指令センター運営事業費負担金,,777339
,,教育費負担金,,,20935,18304
,,,幼稚園費負担金,,,9482
,,,,幼稚園児扶養義務者負担金（食事分）,,7335
,,,,幼稚園保育児童受託分負担金,,2046
,,,,預かり保育料（食事分）,,101
,,,体育保健費負担金,,,8822
,,,,日本スポーツ振興センター災害共済掛金保護者負担金（調定見込額 小学校4891+中学校2629+市立高校1251+幼稚園51）,,8822
使用料及び手数料,,,,,1305446,1274952
,使用料,,,,876102,869037
,,総務使用料,,,1300,946
,,,総務管理使用料,,,946
,,,,まちづくりセンター使用料,,500
,,,,市有建物使用料,,446
,,民生使用料,,,139550,137190
,,,児童福祉使用料,,,137190
,,,,保育園等保育料（調定見込額 保育園公立分(336人)105846+認定こども園公立分(44人)13831+小規模保育事業所公立分(37人)11731+公立受託分(2人)630）,,132038
,,,,延長保育料,,1328
,,,,一時預かり保育料,,3011
,,,,乳児等通園支援保育料,,813
,,衛生使用料,,,110239,105966
,,,保健衛生使用料,,,79491
,,,,墓所使用料,,24750
,,,,墓所管理料,,28587
,,,,斎場使用料,,3240
,,,,斎場産汚物焼却料,,297
,,,,斎場霊柩車使用料,,5600
,,,,斎場施設使用料,,169
,,,,看護専門学校授業料,,16848
,,,清掃使用料,,,26475
,,,,中野台下水処理施設使用料,,24276
,,,,市有土地使用料,,2199
,,農林水産業使用料,,,72,49
,,,林業使用料,,,49
,,,,休養林キャンプ場使用料,,49
,,商工使用料,,,604,618
,,,商工使用料,,,618
,,,,市有建物使用料,,618
,,土木使用料,,,519173,517831
,,,道路橋梁使用料,,,135170
,,,,市道占用料,,135170
,,,河川使用料,,,25010
,,,,河川流水占用料,,157
,,,,河川敷地占用料,,24699
,,,,都市下水路占用料,,154
,,,都市計画使用料,,,1650
,,,,市有土地使用料,,1650
,,,公園使用料,,,6501
,,,,公園占用料,,1161
,,,,公園使用料,,531
,,,,市有土地使用料,,4809
,,,住宅使用料,,,349500
,,,,市営住宅使用料（調定見込額 管理戸数23団地2175戸）,,323294
,,,,市営住宅汚水処理施設使用料,,958
,,,,市営住宅駐車場使用料,,25247
,,,,市有土地使用料,,1
,,消防使用料,,,420,417
,,,消防使用料,,,417
,,,,市有土地使用料,,417
,,教育使用料,,,104744,106020
,,,高等学校使用料,,,87199
,,,,高等学校授業料（調定見込額 9900円*734人*12月）,,87199
,,,幼稚園使用料,,,975
,,,,預かり保育料,,975
,,,社会教育使用料,,,611
,,,,博物館使用料,,10
,,,,中央図書館市民ギャラリー使用料,,601
,,,体育保健使用料,,,17235
,,,,小・中・高等学校屋内運動場等使用料,,13090
,,,,小・中・高等学校屋外運動場夜間照明施設等使用料,,2627
,,,,高等学校庭球場使用料,,880
,,,,市有土地使用料,,638
,手数料,,,,429344,405915
,,総務手数料,,,101772,95020
,,,総務手数料,,,95020
,,,,行政不服審査手数料,,1
,,,,戸籍手数料（調定見込額 戸籍の全部事項証明書・個人事項証明書15375(1通450円/コンビニ交付350円)+除籍記載事項証明謄抄本18113(1通750円)+受理証明等350(1通350円)+身分証明920(1通350円)）,,34758
,,,,住民基本台帳手数料（調定見込額 住民票の写し25300(1通300円/コンビニ交付200円)+戸籍の附票の写し2000(1通300円/コンビニ交付200円)+現況証明等595(1通350円)+住民基本台帳の閲覧105(1世帯350円)）,,28000
,,,,印鑑証明等手数料（調定見込額 印鑑登録証明15500(1通300円/コンビニ交付200円)+印鑑登録証2450(1件350円)）,,17950
,,,,自動車臨時運行許可手数料（調定見込額 1両750円）,,1125
,,,,税証明手数料（調定見込額 所得・納税関係証明等7390(1件300円/コンビニ交付200円)+資産証明等3950(1件300円)+税証明謄抄本900(1件450円)+住宅用家屋証明900(1件900円)）,,13140
,,,,督促手数料（調定見込額 1件70円）,,1
,,,,その他諸証明等手数料,,45
,,民生手数料,,,1118,651
,,,社会福祉手数料,,,333
,,,,介護サービス事業者指定申請手数料（調定見込額 更新33件）,,333
,,,老人福祉手数料,,,318
,,,,介護予防・日常生活支援総合事業事業者指定申請手数料（調定見込額 新規10件 更新21件）,,318
,,衛生手数料,,,283125,277637
,,,保健衛生手数料,,,11599
,,,,看護専門学校入学検定等手数料,,567
,,,,犬の登録等手数料,,11032
,,,清掃手数料,,,266035
,,,,塵芥処理手数料,,266035
,,,環境対策手数料,,,3
,,,,鳥獣飼養登録手数料,,3
,,農林水産業手数料,,,66,65
,,,農業手数料,,,65
,,,,農地に関する証明手数料,,65
,,商工手数料,,,1,1
,,,商工手数料,,,1
,,,,計量手数料,,1
,,土木手数料,,,27834,19890
,,,道路橋梁手数料,,,177
,,,,放置自転車等撤去・保管手数料,,177
,,,都市計画手数料,,,19695
,,,,都市計画に関する証明手数料（調定見込額 35件）,,14
,,,,建築確認申請手数料（調定見込額 15件）,,464
,,,,建築中間検査手数料（調定見込額 2件）,,80
,,,,建築完了検査手数料（調定見込額 18件）,,353
,,,,建築計画変更手数料（調定見込額 1件）,,11
,,,,建築許可申請手数料（調定見込額 53件）,,2066
,,,,長期優良住宅認定手数料（調定見込額 507件）,,8097
,,,,低炭素建築物認定手数料（調定見込額 6件）,,36
,,,,屋外広告物許可申請手数料（調定見込額 380件）,,5320
,,,,開発行為等許可申請手数料（調定見込額 113件）,,3067
,,,,建築物省エネ性能適合判定申請手数料（調定見込額 4件）,,187
,,,住宅手数料,,,18
,,,,市営住宅に関する証明手数料（調定見込額 61件）,,18
,,消防手数料,,,13487,10710
,,,消防手数料,,,10710
,,,,危険物施設設置等許可申請手数料（調定見込額 特定屋外タンク貯蔵所440000円*2件(880)+その他25000円*206件(5150)）,,6030
,,,,危険物施設完成検査前検査申請手数料（調定見込額 特定屋外タンク貯蔵所265000円*3件(795)+その他17000円*5件(85)）,,880
,,,,危険物施設完成検査申請手数料（調定見込額 13600円*194件）,,2638
,,,,危険物施設承認申請手数料（調定見込額 5400円*192件）,,1036
,,,,火薬類消費許可申請手数料（調定見込額 7900円*16件）,,126
,,教育手数料,,,1941,1941
,,,高等学校手数料,,,1941
,,,,入学検定料（調定見込額 2200円*250人）,,550
,,,,入学料（調定見込額 5650円*240人）,,1356
,,,,卒業証明書等発行手数料（調定見込額 350円*100件）,,35
国庫支出金,,,,,18486567,19346840
,国庫負担金,,,,14885888,15463656
,,民生費負担金,,,14624260,15204246
,,,社会福祉費負担金,,,219096
,,,,生活困窮者自立相談支援事業費等負担金（調定見込額 住居確保給付事業3027*3/4）,,2270
,,,,保険基盤安定負担金（国民健康保険）（調定見込額 保険者支援分421072*1/2）,,210536
,,,,未就学児均等割保険税負担金（調定見込額 9858*1/2）,,4929
,,,,産前産後保険税負担金（調定見込額 2723*1/2）,,1361
,,,老人福祉費負担金,,,81450
,,,,介護保険低所得者保険料軽減負担金（調定見込額 162900*1/2）,,81450
,,,児童福祉費負担金,,,3614279
,,,,妊婦のための支援給付交付金（調定見込額 147500*10/10）,,147500
,,,,児童入所施設措置費負担金（調定見込額 母子生活支援施設13741*1/2(6870)+助産施設2936*1/2(1468)+家庭支援事業1024*1/2(512)）,,8850
,,,,児童扶養手当負担金（調定見込額 895000*1/3）,,298333
,,,,未熟児養育医療費負担金（調定見込額 8000*1/2）,,4000
,,,,未熟児養育医療費負担金過年度分,,1
,,,,施設型・地域型保育給付費負担金（調定見込額 施設型給付1号分833070*0.74*1/2(308236)+2号分2026848*1/2(1013424)+3号分2097405*0.6(1258443)+地域型保育給付家庭的保育57409*0.6(34445)+小規模保育公立分94280*0.6(56568)+私立分680100*0.6(408060)+事業所内保育92180*0.6(55308)）,,3134484
,,,,乳児等のための支援給付交付金（調定見込額 公立分4000*3/4(3000)+私立分1850*3/4(1387)+加算分471*3/4(353)）,,4740
,,,,子育てのための施設等利用給付交付金（調定見込額 一時預かり事業(幼稚園型)公立分2808*1/2(1404)+私立分25758*1/2(12879)+預かり保育事業私立分324*1/2(162)+認可外保育施設等3852*1/2(1926)）,,16371
,,,児童手当負担金,,,3959178
,,,,"児童手当負担金（調定見込額 0~3歳未満被用者667980*10/10+0~3歳未満非被用者94860*13/15(82212)+小学校修了前第1,2子1650000*7/9(1283333)+小学校修了前第3子793080*7/9(616840)+中学生862320*7/9(670693)+18歳年度末まで820440*7/9(638120)）",,3959178
,,,障害者福祉費負担金,,,4691749
,,,,特別障害者手当等給付費負担金（調定見込額 121651*3/4）,,91238
,,,,障害者自立支援給付費負担金（調定見込額 介護給付費負担金3122748*1/2(1561374)+訓練等給付費負担金3318168*1/2(1659084)+緊急対応措置費負担金1184*1/2(592)+補装具給付費負担金48000*1/2(24000)）,,3245050
,,,,障害児通所給付費負担金（調定見込額 2501752*1/2）,,1250876
,,,,障害者医療費負担金（調定見込額 療養介護医療23766*1/2(11883)+更生医療185000*1/2(92500)+育成医療400*1/2(200)）,,104583
,,,,特別障害者手当等給付費負担金過年度分,,1
,,,,障害児通所給付費負担金過年度分,,1
,,,生活保護費負担金,,,2638494
