款,項,目,節,説明,R5,R6
,,,,看護専門学校運営費負担金（備考 担金）,,29893
,,,環境対策費負,,,410663
,,,,"環境再生保全機構負担金（備考 担金 補償給付費 405,446×10／10 405,446 福祉事業費 1,854×3／4 1,390 健康被害予防事業費 3,827×10／10 3,827）",,410663
,,土木費負担金,,,4292,4295
,,,土木管理費負,,,1686
,,,,工事設計監理費企業会計負担金（備考 担金）,,1686
,,,道路橋梁費負,,,2609
,,,,土木積算システム企業会計等負担金（備考 担金）,,2609
,,消防費負担金,,,47584,52891
,,,消防費負担金,,,52891
,,,,消防指令センター運営事業費負担金,,52891
,,教育費負担金,,,22256,19952
,,,幼稚園費負担,,,10713
,,,,幼稚園児扶養義務者負担金（食事分）,,9639
,,,,金 幼稚園保育児童受託分負担金,,1074
,,,体育保健費負,,,9239
,,,,"日本スポーツ振興センター災害共済掛金保護者負担金（備考 担金 小学校 5,237 中学校 2,741 市立高校 1,204 幼稚園 57）",,9239
使用料及び手数料,,,,,1333311,1345606
,使用料,,,,,925759
,,総務使用料,,,13,13
,,,総務管理使用,,,13
,,,,市有土地使用料（備考 料）,,13
,,民生使用料,,,160497,186079
,,,児童福祉使用,,,186079
,,,,"保育園等保育料（備考 料 保育園 公立分 （476人） 162,126 公立受託分 （2人） 681 認定こども園 公立分 （31人） 10,551 小規模保育事業所 公立分 （22人） 7,488 公立受託分 （1人） 340）",,181186
,,,,延長保育料,,1557
,,,,一時預かり保育料,,3336
,,衛生使用料,,,108918,109325
,,,保健衛生使用,,,80873
,,,,墓所使用料,,26500
,,,,料 墓所管理料,,28779
,,,,斎場使用料,,720
,,,,斎場産汚物焼却料,,297
,,,,斎場霊柩車使用料,,6000
,,,,斎場施設使用料,,169
,,,,看護専門学校授業料,,18408
,,,清掃使用料,,,28452
,,,,中野台下水処理施設使用料,,26239
,,,,市有土地使用料,,2213
,,農林水産業使用料,,,74,72
,,,林業使用料,,,72
,,,,休養林キャンプ場使用料,,72
,,商工使用料,,,590,583
,,,商工使用料,,,583
,,,,市有建物使用料,,583
,,土木使用料,,,539367,527663
,,,道路橋梁使用,,,134252
,,,,市道占用料（備考 料）,,134252
,,消防使用料,,,430,424
,,,消防使用料,,,424
,,,,市有土地使用料,,424
,,教育使用料,,,98540,101600
,,,高等学校使用,,,81140
,,,,"高等学校授業料（備考 料 9,900円×683人×12月）",,81140
,,,幼稚園使用料,,,1266
,,,,預かり保育料,,1266
,,,社会教育使用,,,781
,,,,中央図書館市民ギャラリー使用料（備考 料）,,781
,,,体育保健使用,,,18413
,,,,小・中・高等学校屋内運動場等使用料,,15015
,,,,料 小・中・高等学校屋外運動場夜間照明施設等使用料,,2485
,,,,高等学校庭球場使用料,,704
,,,,市有土地使用料,,209
,手数料,,,,,419847
,,総務手数料,,,96596,99166
,,,総務手数料,,,99166
,,,,行政不服審査手数料,,1
,,,,戸籍手数料,,33450
,,,,戸籍の全部事項証明書・個人事項証明書（備考 1通 450円（コンビニ交付350円））,,15400
,,,,除籍記載事項証明謄抄本（備考 1通 750円）,,16650
,,,,受理証明等（備考 1通 350円）,,385
,,,,身分証明（備考 1通 350円）,,1015
,,,,住民基本台帳手数料,,30200
,,,,住民票の写し（備考 1通 300円（コンビニ交付200円））,,27800
,,,,戸籍の附票の写し（備考 1通 300円（コンビニ交付200円））,,1700
,,,,現況証明等（備考 1通 350円）,,595
,,,,住民基本台帳の閲覧（備考 1通 350円）,,105
,,,,印鑑証明等手数料,,20650
,,,,印鑑登録証明（備考 1通 300円（コンビニ交付200円））,,18200
,,,,印鑑登録証（備考 1件 350円）,,2450
,,,,自動車臨時運行許可手数料（備考 1両 750円）,,1125
,,,,税証明手数料,,13700
,,,,所得・納税関係証明等（備考 1件 300円（コンビニ交付200円））,,7690
,,,,資産証明等（備考 1件 300円）,,4210
,,,,税証明謄抄本（備考 1件 450円）,,720
,,民生手数料,,,686,465
,,,社会福祉手数,,,226
,,,,介護サービス事業者指定申請手数料（備考 料 更新24件）,,226
,,,老人福祉手数,,,239
,,,,介護予防・日常生活支援総合事業事業者指定申請手数料（備考 料 新規5件 更新13件）,,179
,,,,介護予防支援事業手数料（備考 介護予防サービス計画費）,,60
,,衛生手数料,,,295053,282791
,,,保健衛生手数,,,10889
