款,項,目,節,説明,R6,R7,R8,補足_R6,補足_R7,補足_R8
,,,,法人事業税交付金,,,770000,,,備考: 交付率7.7/100
地方消費税交付金,,,,,6200000,4800000,7800000,,,
,地方消費税交付金,,,,6200000,4800000,7800000,,,
,,地方消費税交付金,,,6200000,4800000,7800000,,,
,,,地方消費税交,,6200000,,,,,
,,,,地方消費税交付金,6200000,,,備考: 付金 交付率 1／2,,
,,,地方消費税交付金,,,4800000,7800000,,,
,,,,地方消費税交付金,,,7800000,,,備考: 交付率1/2
ゴルフ場利用税交付金,,,,,67000,30000,60000,,,
,ゴルフ場利用税交付金,,,,67000,30000,60000,,,
,,ゴルフ場利用税交付金,,,67000,30000,60000,,,
,,,ゴルフ場利用,,67000,,,,,
,,,,ゴルフ場利用税交付金,67000,,,備考: 税交付金 交付率 7／10 大富士ゴルフ場 外3ゴルフ場,,
,,,ゴルフ場利用税交付金,,,30000,60000,,,
,,,,ゴルフ場利用税交付金,,,60000,,,備考: 交付率7/10、大富士ゴルフ場外2ゴルフ場
環境性能割交付金,,,,,90000,45000,2000,,,
,環境性能割交付金,,,,90000,45000,2000,,,
,,環境性能割交付金,,,90000,45000,2000,,,
,,,環境性能割交,,90000,,,,,
,,,,環境性能割交付金,90000,,,備考: 付金 交付率 43／100,,
,,,環境性能割交付金,,,45000,2000,,,
,,,,環境性能割交付金,,,2000,,,備考: 交付率43/100
地方特例交付金,,,,,1502000,312000,458000,,,
,地方特例交付金,,,,1459000,286000,453000,,,
,,地方特例交付金,,,1459000,286000,453000,,,
,,,地方特例交付,,1459000,,,,,
,,,,地方特例交付金,1459000,,,,,
,,,,金 住宅借入金等特別税額控除減収補 分,309000,,,,,
,,,,定額減税減収補 分,1150000,,,,,
,,,地方特例交付金,,,286000,453000,,,
,,,,住宅借入金等特別税額控除減収補填分,,281000,249000,,,
,,,,定額減税減収補填分,,5000,,,,
,,,,地方特例交付金,,,453000,,,
,,,,地方揮発油譲与税減収補填分,,,20000,,,
,,,,自動車税減収補填分,,,108000,,,
,,,,軽自動車税減収補填分,,,76000,,,
,新型コロナウイルス感染症対策地方税減収補 特別交付金,,,,43000,,,,,
,,新型コロナウイルス感染症対策地方税減収補 特別,,,43000,,,,,
,,,新型コロナウ,,43000,,,,,
,,,,新型コロナウイルス感染症対策地方税減収補 特別交付金,43000,,,備考: イルス感染症 対策地方税減 収補 特別交 付金,,
,新型コロナウイルス感染症対策地方税減収補填特別交付金,,,,,26000,5000,,,
,,新型コロナウイルス感染症対策地方税減収補填特別交付金,,,,26000,5000,,,
,,,新型コロナウイルス感染症対策地方税減収補填特別交付金,,,26000,5000,,,
,,,,新型コロナウイルス感染症対策地方税減収補填特別交付金,,,5000,,,
地方交付税,,,,,100000,5000000,200000,,,
,地方交付税,,,,100000,5000000,200000,,,
,,地方交付税,,,100000,5000000,200000,,,
,,,地方交付税,,100000,5000000,200000,,,
,,,,特別交付税,100000,,200000,,,
交通安全対策特別交付金,,,,,40000,25000,40000,,,
,交通安全対策特別交付金,,,,40000,25000,40000,,,
,,交通安全対策特別交付金,,,40000,25000,40000,,,
,,,交通安全対策,,40000,,,,,
,,,,交通安全対策特別交付金,40000,,,備考: 特別交付金 交付率 1／3,,
,,,交通安全対策特別交付金,,,25000,40000,,,
,,,,交通安全対策特別交付金,,,40000,,,調定見込額: 交付率 1/3
分担金及び負担金,,,,,923407,200000,1673555,,,
,負担金,,,,923407,,1673555,,,
,,総務費負担金,,,93622,,107509,,,
,,,総務管理費負,,93622,,,,,
,,,,健康管理費企業会計負担金,18528,,,,,
,,,,担金 福利厚生費企業会計負担金,523,,,,,
,,,,情報公開費企業会計負担金,401,,,,,
,,,,会計事務費企業会計等負担金,734,,,,,
,,,,契約管理費企業会計負担金,16970,,,,,
,,,,工事検査費企業会計等負担金,9800,,,,,
,,,,会議録作成支援システム企業会計負担金,316,,,,,
,,,,情報化推進費企業会計等負担金,35432,,,,,
,,,,共同電算事業費企業会計等負担金,10917,,,,,
,,,,公平委員会共同設置運営費負担金,1,,,,,
,,,総務管理費負担金,,,,107509,,,
,,,,健康管理費企業会計負担金,,,18348,,,
,,,,福利厚生費企業会計負担金,,,532,,,
,,,,情報公開費企業会計負担金,,,396,,,
,,,,会計事務費企業会計等負担金,,,929,,,
,,,,契約管理費企業会計負担金,,,15320,,,
,,,,工事検査費企業会計等負担金,,,9800,,,
,,,,情報化推進費企業会計等負担金,,,48290,,,
,,,,共同電算事業費企業会計等負担金,,,13893,,,
,,,,公平委員会共同設置運営費負担金,,,1,,,
,,民生費負担金,,,312091,,297543,,,
,,,老人福祉費負,,43157,,,,,
,,,,シルバーハウジング入居者負担金,429,,,,,
,,,,担金 緊急保護措置利用者負担金,100,,,,,
,,,,養護老人ホーム入所者及び扶養義務者負担金,40086,,,"備考: 44,540円×75人×12月",,
,,,,生きがいデイサービス事業利用者負担金,2540,,,,,
,,,,生活支援型ショートステイ事業利用者負担金,2,,,,,
,,,児童福祉費負,,264704,,,,,
,,,,未熟児養育医療費負担金,2000,,,,,
,,,,担金 保育児童扶養義務者負担金,188523,,,"備考: 私立分 （532人） 180,136 私立委託分（12人） 4,226",,
,,,,過年度分,4161,,,,,
,,,,保育児童扶養義務者負担金（平日食事分）,51772,,,,,
,,,,保育児童扶養義務者負担金（土曜日食事分）,1221,,,,,
,,,,保育児童扶養義務者負担金（保育ママ事業）,7573,,,,,
,,,,保育児童受託分負担金,13219,,,,,
,,,,日本スポーツ振興センター災害共済掛金保護者負担金,396,,,,,
,,,障害者福祉費,,4230,,,,,
,,,,ふじやま学園日中一時支援事業保護者負担金,483,,,,,
,,,,負担金 ふじやま学園短期入所保護者負担金,716,,,,,
,,,老人福祉費負担金,,,,47237,,,
,,,,シルバーハウジング入居者負担金,,,645,,,
,,,,緊急保護措置利用者負担金,,,100,,,
,,,,養護老人ホーム入所者及び扶養義務者負担金,,,43932,,,調定見込額: 50848円*72人*12月
,,,,生きがいデイサービス事業利用者負担金,,,2560,,,
,,,児童福祉費負担金,,,,245780,,,
,,,,未熟児養育医療費負担金,,,2000,,,
,,,,保育児童扶養義務者負担金,,,176928,,,調定見込額: 私立分(536人)169017+私立委託分(13人)4199+過年度分3712
,,,,保育児童扶養義務者負担金（平日食事分）,,,43663,,,
,,,,保育児童扶養義務者負担金（土曜日食事分）,,,994,,,
,,,,保育児童扶養義務者負担金（家庭的保育事業）,,,5983,,,
,,,,保育児童受託分負担金,,,14982,,,
,,,,日本スポーツ振興センター災害共済掛金保護者負担金,,,293,,,
,,,,一時預かり保育料（食事分）,,,656,,,
,,,,乳児等通園支援児童扶養義務者負担金（食事分）,,,281,,,
,,,障害者福祉費負担金,,,,4526,,,
,,,,ふじやま学園日中一時支援事業保護者負担金,,,735,,,
,,,,ふじやま学園短期入所保護者負担金,,,974,,,
,,,,ふじやま学園施設入所保護者負担金,,,892,,,
,,,,こども発達センター利用者負担金,,,1925,,,
,,衛生費負担金,,,440556,,468197,,,
,,,保健衛生費負,,29893,,,,,
,,,,看護専門学校運営費負担金,29893,,,備考: 担金,,
,,,環境対策費負,,410663,,,,,
,,,,環境再生保全機構負担金,410663,,,"備考: 担金 補償給付費 405,446×10／10 405,446 福祉事業費 1,854×3／4 1,390 健康被害予防事業費 3,827×10／10 3,827",,
,,,保健衛生費負担金,,,,34010,,,
,,,,簡易水道統合推進事業費企業会計負担金,,,372,,,
,,,,看護専門学校運営費負担金,,,33638,,,
,,,環境対策費負担金,,,,434187,,,
,,,,富士・愛鷹山麓地域保全措置負担金,,,10000,,,
,,,,環境再生保全機構負担金,,,424187,,,調定見込額: 補償給付費418512*10/10+福祉事業費2182*3/4+健康被害予防事業費4039*10/10
,,土木費負担金,,,4295,,4663,,,
,,,土木管理費負,,1686,,,,,
,,,,工事設計監理費企業会計負担金,1686,,,備考: 担金,,
,,,道路橋梁費負,,2609,,,,,
,,,,土木積算システム企業会計等負担金,2609,,,備考: 担金,,
,,,土木管理費負担金,,,,2054,,,
,,,,工事設計監理費企業会計負担金,,,2054,,,
,,,道路橋梁費負担金,,,,2609,,,
,,,,土木積算システム企業会計等負担金,,,2609,,,
,,消防費負担金,,,52891,,777339,,,
,,,消防費負担金,,52891,,777339,,,
,,,,消防指令センター運営事業費負担金,52891,,777339,,,
,,教育費負担金,,,19952,,18304,,,
,,,幼稚園費負担,,10713,,,,,
,,,,幼稚園児扶養義務者負担金（食事分）,9639,,,,,
,,,,金 幼稚園保育児童受託分負担金,1074,,,,,
,,,体育保健費負,,9239,,,,,
,,,,日本スポーツ振興センター災害共済掛金保護者負担金,9239,,,"備考: 担金 小学校 5,237 中学校 2,741 市立高校 1,204 幼稚園 57",,
,,,幼稚園費負担金,,,,9482,,,
,,,,幼稚園児扶養義務者負担金（食事分）,,,7335,,,
,,,,幼稚園保育児童受託分負担金,,,2046,,,
,,,,預かり保育料（食事分）,,,101,,,
,,,体育保健費負担金,,,,8822,,,
,,,,日本スポーツ振興センター災害共済掛金保護者負担金,,,8822,,,調定見込額: 小学校4891+中学校2629+市立高校1251+幼稚園51
,分担金及び負担金,,,,,200000,,,,
,,分担金及び負担金,,,,200000,,,,
,,,分担金及び負担金,,,200000,,,,
使用料及び手数料,,,,,1345606,2000000,1274952,,,
,使用料,,,,925759,,869037,,,
,,総務使用料,,,13,,946,,,
,,,総務管理使用,,13,,,,,
,,,,市有土地使用料,13,,,備考: 料,,
,,,総務管理使用料,,,,946,,,
,,,,まちづくりセンター使用料,,,500,,,
,,,,市有建物使用料,,,446,,,
,,民生使用料,,,186079,,137190,,,
,,,児童福祉使用,,186079,,,,,
,,,,保育園等保育料,181186,,,"備考: 料 保育園 公立分 （476人） 162,126 公立受託分 （2人） 681 認定こども園 公立分 （31人） 10,551 小規模保育事業所 公立分 （22人） 7,488 公立受託分 （1人） 340",,
,,,,延長保育料,1557,,,,,
,,,,一時預かり保育料,3336,,,,,
,,,児童福祉使用料,,,,137190,,,
,,,,保育園等保育料,,,132038,,,調定見込額: 保育園公立分(336人)105846+認定こども園公立分(44人)13831+小規模保育事業所公立分(37人)11731+公立受託分(2人)630
,,,,延長保育料,,,1328,,,
,,,,一時預かり保育料,,,3011,,,
,,,,乳児等通園支援保育料,,,813,,,
,,衛生使用料,,,109325,,105966,,,
,,,保健衛生使用,,80873,,,,,
,,,,墓所使用料,26500,,,,,
,,,,料 墓所管理料,28779,,,,,
,,,,斎場使用料,720,,,,,
,,,,斎場産汚物焼却料,297,,,,,
,,,,斎場霊柩車使用料,6000,,,,,
,,,,斎場施設使用料,169,,,,,
,,,,看護専門学校授業料,18408,,,,,
,,,清掃使用料,,28452,,26475,,,
,,,,中野台下水処理施設使用料,26239,,24276,,,
,,,,市有土地使用料,2213,,2199,,,
,,,保健衛生使用料,,,,79491,,,
,,,,墓所使用料,,,24750,,,
,,,,墓所管理料,,,28587,,,
,,,,斎場使用料,,,3240,,,
,,,,斎場産汚物焼却料,,,297,,,
,,,,斎場霊柩車使用料,,,5600,,,
,,,,斎場施設使用料,,,169,,,
,,,,看護専門学校授業料,,,16848,,,
,,農林水産業使用料,,,72,,49,,,
,,,林業使用料,,72,,49,,,
,,,,休養林キャンプ場使用料,72,,49,,,
,,商工使用料,,,583,,618,,,
,,,商工使用料,,583,,618,,,
,,,,市有建物使用料,583,,618,,,
,,土木使用料,,,527663,,517831,,,
,,,道路橋梁使用,,134252,,,,,
,,,,市道占用料,134252,,,備考: 料,,
,,,道路橋梁使用料,,,,135170,,,
,,,,市道占用料,,,135170,,,
,,,河川使用料,,,,25010,,,
,,,,河川流水占用料,,,157,,,
,,,,河川敷地占用料,,,24699,,,
,,,,都市下水路占用料,,,154,,,
,,,都市計画使用料,,,,1650,,,
,,,,市有土地使用料,,,1650,,,
,,,公園使用料,,,,6501,,,
,,,,公園占用料,,,1161,,,
,,,,公園使用料,,,531,,,
,,,,市有土地使用料,,,4809,,,
,,,住宅使用料,,,,349500,,,
,,,,市営住宅使用料,,,323294,,,調定見込額: 管理戸数23団地2175戸
,,,,市営住宅汚水処理施設使用料,,,958,,,
,,,,市営住宅駐車場使用料,,,25247,,,
,,,,市有土地使用料,,,1,,,
,,消防使用料,,,424,,417,,,
,,,消防使用料,,424,,417,,,
