款,項,目,節,説明,R6,R7,R8,補足_R6,補足_R7,補足_R8
,,,,健康増進事業費補助金,,,11729,,,
,,,,予防接種健康被害救済事業費補助金,,,117,,,
,,,,地域自殺対策強化事業費補助金,,,639,,,
,,,,不育症治療費助成事業費補助金,,,31,,,
,,,,子育て支援事業費補助金,,,7413,,,
,,,,若年がん患者等支援事業費補助金,,,1512,,,
,,,,消費・安全対策交付金補助金,,,1671,,,
,,,,消費者行政強化促進事業費補助金,,,175,,,
,,,,難病患者介護家族リフレッシュ事業費補助金,,,570,,,
,,,,小児慢性特定疾病児童日常生活用具給付事業費補助金,,,69,,,
,,,,骨髄ドナー助成事業費補助金,,,210,,,
,,,,救急医療施設運営費等補助金,,,16828,,,
,,,清掃費補助金,,,,6321,,,
,,,,地震・津波対策等減災交付金,,,979,,,
,,,,消費・安全対策交付金補助金,,,99,,,
,,,,消費者行政強化促進事業費補助金,,,467,,,
,,,,生活排水改善対策推進事業費補助金,,,4776,,,
,,,環境対策費補助金,,,,264,,,
,,,,地震・津波対策等減災交付金,,,121,,,
,,,,指定管理鳥獣対策事業交付金,,,143,,,
,,労働費補助金,,,583,,6546,,,
,,,労働費補助金,,583,,6546,,,
,,,,ふじのくにフロンティア推進エリア形成事業費補助金,583,,,"備考: 複業人材活用導入支援事業 1,166×1／2",,
,,,,消費者行政強化促進事業費補助金,,,6546,,,
,,農林水産業費補助金,,,66990,,57343,,,
,,,農業費補助金,,47032,,40790,,,
,,,,農業委員会交付金,3113,,3083,,,
,,,,担い手育成総合対策事業費補助金,,,1500,,,
,,,,環境保全型農業直接支払交付金,,,2310,,,
,,,,経営所得安定対策推進事業費補助金,,,984,,,
,,,,静岡茶海外戦略展開支援事業費補助金,,,5169,,,
,,,,鳥獣被害防止総合対策交付金,,,3720,,,
,,,,多面的機能支払交付金,,,24024,,,
,,,林業費補助金,,,,16553,,,
,,,,保全松林健全化整備事業費補助金,,,3665,,,
,,,,地震・津波対策等減災交付金,,,142,,,
,,,,林業関係事業費補助金,,,686,,,
,,,,林道点検診断・保全整備事業補助金,,,400,,,
,,,,振興事業費補助金,,,11660,,,
,,商工費補助金,,,161419,,212189,,,
,,,商工費補助金,,161419,,212189,,,
,,,,工業用地等開発可能性基本調査費補助金,2500,,,,,
,,,,地域産業立地事業費補助金,,,207689,,,調定見込額: 415378*1/2
,,,,スポーツまちづくり事業費補助金,,,4500,,,
,,土木費補助金,,,435053,,234213,,,
,,,土木管理費補,,6803,,,,,
,,,,地籍調査事業費補助金,6639,,,"備考: 助金 8,852×3／4",,
,,,,地震・津波対策等減災交付金,164,,,備考: 道路啓開訓練 492×1／3,,
,,,河川費補助金,,25500,,11400,,,
,,,,河川海岸愛護事業費補助金,1500,,1400,備考: 春堀清掃事業,,
,,,,都市基盤河川改修事業費補助金,24000,,10000,"備考: 富士早川 72,000×1／3",,
,,,都市計画費補,,402450,,,,,
,,,,地震・津波対策等減災交付金,2582,,,"備考: 助金 事前都市復興計画改定 9,000×1／4 2,250 耐震シェルター 124×1台×1／2 62 防災ベッド 100×1台×1／2 50 埋立て事業地監視用ドローン活用事業 440×1／2 220",,
,,,,市町自主運行バス事業費補助金,2167,,,"備考: 19,263×9／20×1／4",,
,,,,鉄道駅ユニバーサルデザイン施設整備事業費補助金,5834,,,"備考: 富士川駅バリアフリー化事業 17,500×1／3",,
,,,,街路事業費補助金,71350,,,"備考: 左富士臨港線（青葉台東工区） 85,000×1／4 21,250 中島林町線 1,000×1／4 250 五味島岩本線（四ツ家東工区） 35,600×1／4 8,900 大淵横沢１０号線 73,000×1／4 18,250 富士鷹岡線（川久保交差点） 90,800×1／4 22,700",,
,,,土木管理費補助金,,,,13878,,,
,,,,地震・津波対策等減災交付金,,,600,,,
,,,,地籍調査事業費補助金,,,13278,,,
,,,都市計画費補助金,,,,197998,,,
,,,,地震・津波対策等減災交付金,,,121,,,
,,,,市町自主運行バス事業費補助金,,,7877,,,
,,,,鉄道駅ユニバーサルデザイン施設整備事業費補助金,,,5833,,,
,,,,自動運転実装支援事業補助金,,,20000,,,
,,,,街路事業費補助金,,,1400,,,
,,,,市街地再開発事業等補助金,,,129217,,,
,,,,既存建築物耐震性向上事業費補助金,,,325,,,
,,,,ブロック塀等耐震改修促進事業費補助金,,,2775,,,
,,,,耐震補強事業費補助金,,,30450,,,
,,,公園費補助金,,,,10937,,,
,,,,公園整備事業費補助金,,,10937,,,
,,消防費補助金,,,95954,,112546,,,
,,,消防費補助金,,95954,,112546,,,
,,,,地震・津波対策等減災交付金（消防分）,66880,,51449,"備考: 消防活動用ドローン活用事業 8,904×1／2 4,452 非常用自家発電設備整備 60,000×1／3 20,000 救急用資機材等整備 5,853×1／3 1,951 消防まつり開催 1,000×2／3 666 消火栓整備 65,780×1／3 21,926 消防用資機材等整備 10,737×1／3 3,579",,
,,,,消防車両整備,10000,,,"備考: 消防団資機材等整備 3,168×1／2＋8,166×1／3 4,306",,
,,,,地震・津波対策等減災交付金（防災分）,27173,,59253,,,
,,,,地震・津波対策等減災交付金（水防分）,,,557,,,
,,,,石油貯蔵施設立地対策等交付金,,,1287,,,
,,教育費補助金,,,114307,,762852,,,
,,,教育総務費補,,6475,,,,,
,,,,部活動地域移行体制整備事業費補助金,157,,,備考: 助金 中学校部活動地域移行協議会 236×2／3,,
,,,,部活動指導員配置事業費補助金,2893,,,"備考: 部活動指導員 4,340×2／3",,
,,,,学校・家庭・地域連携協力推進事業費補助金,1258,,,"備考: 放課後学習支援ボランティア 2,697×2／3×0.7",,
,,,,不登校、いじめ対策等の推進事業費補助金,2167,,,"備考: 心の健康観察アプリ導入 2,167×10／10",,
,,,小学校費補助,,1733,,,,,
,,,,地震・津波対策等減災交付金,1733,,,"備考: 金 ガラス飛散防止フィルム貼替 5,200×1／3",,
,,,中学校費補助,,433,,,,,
,,,,地震・津波対策等減災交付金,433,,,"備考: 金 ガラス飛散防止フィルム貼替 1,300×1／3",,
,,,教育総務費補助金,,,,14831,,,
,,,,部活動指導員配置事業費補助金,,,2761,,,
,,,,不登校、いじめ対策等の推進事業費補助金,,,11900,,,
,,,,学校・家庭・地域連携協力推進事業費補助金,,,170,,,
,,,小学校費補助金,,,,666,,,
,,,,地震・津波対策等減災交付金,,,666,,,
,,,中学校費補助金,,,,666,,,
,,,,地震・津波対策等減災交付金,,,666,,,
,,,幼稚園費補助金,,,,90337,,,
,,,,地震・津波対策等減災交付金,,,38,,,
,,,,施設型給付費補助金,,,90238,,,
,,,,保育対策等促進事業費補助金,,,61,,,
,,,社会教育費補助金,,,,13661,,,
,,,,学校・家庭・地域連携協力推進事業費補助金,,,1490,,,
,,,,地域自殺対策強化事業費補助金,,,8862,,,
,,,,埋蔵文化財調査事業費補助金,,,1250,,,
,,,,文化財保存費補助金,,,1559,,,
,,,,しずおか遺産補助金,,,500,,,
,,,体育保健費補助金,,,,642691,,,
,,,,地震・津波対策等減災交付金,,,335,,,
,,,,学校給食費の抜本的な負担軽減交付金,,,642356,,,
,,災害復旧費補助金,,,,,123597,,,
,,,農林水産業施設災害復旧費補助金,,,,123597,,,
,,,,林業施設災害復旧事業費補助金,,,123597,,,調定見込額: 林道中里線124344*99.4/100
,県委託金,,,,473216,,499259,,,
,,総務費委託金,,,443634,,461683,,,
,,,総務管理費委,,1030,,,,,
,,,,地方自治法取扱事務委託金,1,,,,,
,,,,託金 特定非営利活動促進法等取扱事務委託金,1029,,,,,
,,,徴税費委託金,,428232,,426639,,,
,,,,県民税徴収取扱事務委託金,428232,,426639,"備考: 現年課税分 135,200人×3,000円 405,600 滞納繰越分 180×7／100 12",,調定見込額: 現年課税分134800人*3000円(404400)+滞納繰越分83*7/100(5)+過誤納金分22234
,,,総務管理費委託金,,,,1201,,,
,,,,地方自治法取扱事務委託金,,,1,,,
,,,,特定非営利活動促進法等取扱事務委託金,,,1200,,,
,,,戸籍住民基本台帳費委託金,,,,6288,,,
,,,,人口動態調査事務委託金,,,219,,,
,,,,旅券申請交付事務委託金,,,6069,,,
,,,統計調査費委託金,,,,13614,,,
,,,,学校基本調査委託金,,,50,,,
,,,,経済センサス調査区管理委託金,,,24,,,
,,,,経済センサス－活動調査委託金,,,13357,,,
,,,,統計調査員確保対策事業委託金,,,40,,,
,,,,統計調査員環境基盤整備事業委託金,,,80,,,
,,,,その他統計調査委託金,,,63,,,
,,,選挙費委託金,,,,13941,,,
,,,,県議会議員選挙委託金,,,13941,,,
,,民生費委託金,,,8227,,11460,,,
,,,社会福祉費委,,3554,,,,,
,,,,人権啓発活動事業委託金,961,,,,,
,,,,託金 民生委員法取扱事務委託金,576,,,,,
,,,,老人福祉法取扱事務委託金,2017,,,,,
,,,児童福祉費委,,738,,,,,
,,,,児童福祉法関係取扱事務委託金,4,,,,,
,,,,託金 認定こども園に関する事務委託金,113,,,,,
,,,,地域子育て支援拠点事業等取扱事務委託金,621,,,,,
,,,障害者福祉費,,3550,,,,,
,,,,療育手帳取扱事務委託金,1272,,,,,
,,,,委託金 身体障害者手帳取扱事務委託金,1977,,,,,
,,,,心身障害者扶養共済制度取扱事務委託金,301,,,,,
,,,生活保護費委,,385,,,,,
,,,,ホームレス実態調査委託金,30,,,,,
,,,,託金 国民生活基礎調査委託金,355,,,,,
,,,社会福祉費委託金,,,,4621,,,
,,,,人権啓発活動事業委託金,,,825,,,
,,,,民生委員法取扱事務委託金,,,632,,,
,,,,老人福祉法取扱事務委託金,,,3164,,,
,,,児童福祉費委託金,,,,775,,,
,,,,児童福祉法関係取扱事務委託金,,,4,,,
,,,,認定こども園に関する事務委託金,,,112,,,
,,,,地域子育て支援拠点事業等取扱事務委託金,,,659,,,
,,,障害者福祉費委託金,,,,5443,,,
,,,,療育手帳取扱事務委託金,,,1447,,,
,,,,身体障害者手帳取扱事務委託金,,,2035,,,
,,,,心身障害者扶養共済制度取扱事務委託金,,,278,,,
,,,,自立支援医療（精神通院）取扱事務委託金,,,1683,,,
,,,生活保護費委託金,,,,621,,,
,,,,ホームレス実態調査委託金,,,30,,,
,,,,国民生活基礎調査委託金,,,591,,,
,,衛生費委託金,,,14190,,17841,,,
,,,保健衛生費委,,1027,,,,,
,,,,動物の愛護及び管理事務委託金,1027,,,備考: 託金,,
,,,保健衛生費委託金,,,,793,,,
,,,,動物の愛護及び管理事務委託金,,,793,,,
,,,清掃費委託金,,,,8888,,,
,,,,浄化槽法取扱事務委託金,,,8888,,,
,,,環境対策費委託金,,,,8160,,,
,,,,公害関連法等取扱事務委託金,,,7128,,,
,,,,地下水採取取扱事務委託金,,,365,,,
,,,,自然公園法関係取扱事務委託金,,,201,,,
,,,,鳥獣保護事務委託金,,,466,,,
,,農林水産業費委託金,,,2073,,1955,,,
,,,農業費委託金,,249,,174,,,
,,,,農地法関係取扱事務委託金,214,,137,,,
,,,,土地改良法取扱事務委託金,35,,37,,,
,,,林業費委託金,,1824,,1781,,,
,,,,森林法取扱事務委託金,380,,337,,,
,,,,東海自然歩道管理委託金,1444,,1444,,,
,,商工費委託金,,,186,,344,,,
,,,商工費委託金,,186,,344,,,
,,,,中小企業等協同組合法関係取扱事務委託金,177,,270,,,
,,,,商工会議所法取扱事務委託金,8,,32,,,
,,,,商工会法取扱事務委託金,1,,38,,,
,,,,中小企業団体組織法関係取扱事務委託金,,,4,,,
,,土木費委託金,,,1180,,1390,,,
,,,土木管理費委,,197,,,,,
,,,,国有財産事務委託金,197,,,備考: 託金,,
,,,都市計画費委,,980,,,,,
,,,,福祉のまちづくり事務委託金,87,,,,,
,,,,託金 地球温暖化防止条例取扱事務委託金,99,,,,,
,,,,県建築基準条例関係取扱事務委託金,15,,,,,
,,,,屋外広告物簡易除去事務委託金,7,,,,,
,,,,国土利用計画法関連事務委託金,772,,,,,
,,,住宅費委託金,,3,,,,,
,,,,高齢者の居住の安定確保に関する事務委託金,3,,,,,
,,,土木管理費委託金,,,,361,,,
,,,,国有財産事務委託金,,,361,,,
,,,都市計画費委託金,,,,1029,,,
,,,,福祉のまちづくり事務委託金,,,109,,,
,,,,地球温暖化防止条例取扱事務委託金,,,92,,,
,,,,県建築基準条例関係取扱事務委託金,,,6,,,
,,,,屋外広告物簡易除去事務委託金,,,2,,,
,,,,国土利用計画法関連事務委託金,,,820,,,
,,消防費委託金,,,418,,448,,,
,,,消防費委託金,,418,,448,,,
,,,,高圧ガス立入検査取扱事務委託金,20,,20,,,
,,,,液化石油ガス設備取扱事務委託金,71,,95,,,
,,,,田子の浦港海岸陸閘操作委託金,327,,333,,,
,,教育費委託金,,,3308,,4138,,,
,,,社会教育費委,,3308,,,,,
,,,,文化財保護事務委託金,3308,,,備考: 託金,,
,,,教育総務費委託金,,,,1388,,,
,,,,部活動の地域連携・地域展開に向けた実証事業委託金,,,1388,,,
,,,社会教育費委託金,,,,2750,,,
,,,,文化財保護事務委託金,,,2750,,,
,県支出金,,,,,5000000,,,,
,,県支出金,,,,5000000,,,,
,,,県支出金,,,5000000,,,,
財産収入,,,,,286054,300000,289419,,,
,財産運用収入,,,,120923,,181310,,,
,,財産貸付収入,,,82924,,175628,,,
,,,土地建物貸付,,82924,,,,,
,,,,市有土地貸付料,44727,,,,,
,,,,収入 市有建物貸付料,35858,,,,,
,,,,送電線等敷地料,2339,,,,,
,,,土地貸付収入,,,,175628,,,
,,,,土地貸付収入,,,175628,,,調定見込額: 行政財産15099+普通財産160529
,,利子及び配当金,,,37999,,5682,,,
,,,基金利子,,36406,,,,,
,,,,財政調整基金利子,20492,,,,,
,,,,育英奨学基金利子,138,,,,,
,,,,福祉基金利子,707,,,,,
,,,,国際交流基金利子,2347,,,,,
,,,,文化振興基金利子,2216,,,,,
,,,,教育振興基金利子,82,,,,,
,,,,ふるさと・水と土基金利子,9,,,,,
,,,,新環境クリーンセンター建設基金利子,1164,,,,,
,,,,大村教育施設等整備基金利子,156,,,,,
,,,,公共建築物保全基金利子,4237,,,,,
,,,,総合体育館建設基金利子,4,,,,,
,,,,ふるさと応援基金利子,1,,,,,
,,,,森林環境基金利子,139,,,,,
,,,,新病院建設基金利子,4125,,,,,
,,,,富士・愛鷹山麓地域森林機能保全基金利子,3,,,,,
,,,,職員退職手当基金利子,531,,,,,
,,,,企業版ふるさと納税基金利子,55,,,,,
,,,株式配当金,,1593,,,,,
,,,,田子の浦埠頭㈱株式配当金,750,,,,,
,,,,㈱みずほフィナンシャルグループ株式配当金,133,,,,,
,,,,㈱静岡銀行株式配当金,508,,,,,
,,,,㈱ＴＯＫＡＩホールディングス株式配当金,194,,,,,
,,,,㈱清水銀行株式配当金,8,,,,,
,,,利子及び配当金,,,,5682,,,
,,,,土地開発基金運用収益,,,68,,,
,,,,小栗利貞基金運用収益,,,1,,,
,,,,福祉振興基金運用収益,,,4520,,,
,,,,天間敬人育成基金運用収益,,,13,,,
,,,,緑の環境基金運用収益,,,118,,,
,,,,ふじやま学園生産活動振興基金運用収益,,,1,,,
,,,,環境対策基金運用収益,,,4,,,
,,,,奨学金基金運用収益,,,54,,,
,,,,長寿社会対策基金運用収益,,,161,,,
,,,,体育振興基金運用収益,,,151,,,
,,,,道路整備基金運用収益,,,4,,,
,,,,まちの駅ふじ交流基金運用収益,,,9,,,
,,,,新環境クリーンセンター建設基金運用収益,,,1,,,
,,,,株式配当金,,,577,,,
,財産売払収入,,,,165131,,108109,,,
,,不動産売払収入,,,153399,,107109,,,
,,,土地売払収入,,153398,,107109,,,
,,,,市有土地売払収入,153398,,,,,
,,,,土地売払収入,,,107109,,,
,,,建物売払収入,,1,,,,,
,,,,市有建物売払収入,1,,,,,
,,物品売払収入,,,7847,,1000,,,
,,,物品売払収入,,7847,,1000,,,
,,,,都市計画図等売払収入,193,,,,,
,,,,市民文芸等有償頒布収入,302,,,,,
,,,,博物館出版物等有償頒布収入,981,,,,,
,,,,社会科副読本有償頒布収入,1934,,,,,
,,,,市史等有償頒布収入,4,,,,,
,,,,文化財関連出版物等有償頒布収入,309,,,,,
,,,,不用品売払収入,4070,,,,,
,,,,各種競技会プログラム売払収入,10,,,,,
,,,,統計書・その他頒布収入,44,,,,,
,,,,物品売払収入,,,1000,,,
,,立木売払収入,,,3885,,,,,
,,,立木売払収入,,3885,,,,,
,,,,間伐材等売払収入,3885,,,,,
,財産収入,,,,,300000,,,,
,,財産収入,,,,300000,,,,
,,,財産収入,,,300000,,,,
寄附金,,,,,3506306,1500000,6019301,,,
,寄附金,,,,3506306,1500000,6019301,,,
,,総務費寄附金,,,3502000,,6012998,,,
,,,総務管理費寄,,3502000,,,,,
,,,,ふるさと納税寄附金,3500000,,,,,
,,,,附金 ふるさと応援基金寄附金,1000,,,,,
,,,,ＳＤＧｓプロジェクトエッグ支援寄附金,1000,,,,,
,,,総務管理費寄附金,,,,6012998,,,
,,,,ふるさと納税寄附金,,,6000000,,,
,,,,ふるさと応援基金寄附金,,,1500,,,
,,,,SDGsプロジェクトエッグ支援寄附金,,,11498,,,
,,民生費寄附金,,,2000,,3000,,,
,,,社会福祉費寄,,2000,,,,,
,,,,福祉基金寄附金,2000,,,備考: 附金,,
,,,社会福祉費寄附金,,,,3000,,,
,,,,福祉基金寄附金,,,3000,,,
,,衛生費寄附金,,,1801,,1801,,,
,,,環境対策費寄,,1800,,,,,
,,,,ブナ林創造事業寄附金,1800,,,備考: 附金,,
,,,病院費寄附金,,1,,1,,,
,,,,新病院建設基金寄附金,1,,1,,,
,,,環境対策費寄附金,,,,1800,,,
,,,,ブナ林創造事業寄附金,,,1800,,,
,,消防費寄附金,,,2,,2,,,
,,,消防費寄附金,,2,,2,,,
,,,,消防事業寄附金,1,,1,,,
,,,,防災費寄附金,1,,1,,,
,,教育費寄附金,,,503,,1500,,,
,,,小学校費寄附,,1,,,,,
,,,,小学校費寄附金,1,,,備考: 金,,
,,,中学校費寄附,,1,,,,,
,,,,中学校費寄附金,1,,,備考: 金,,
,,,社会教育費寄,,500,,,,,
,,,,文化振興基金寄附金,500,,,備考: 附金,,
,,,体育保健費寄,,1,,,,,
,,,,総合体育館建設基金寄附金,1,,,備考: 附金,,
,,,小学校費寄附金,,,,500,,,
,,,,小学校費寄附金,,,500,,,
,,,中学校費寄附金,,,,500,,,
,,,,中学校費寄附金,,,500,,,
,,,社会教育費寄附金,,,,500,,,
,,,,文化振興基金寄附金,,,500,,,
,,寄附金,,,,1500000,,,,
,,,寄附金,,,1500000,,,,
繰入金,,,,,849080,4000000,2140017,,,
,特別会計繰入金,,,,130494,,130481,,,
,,後期高齢者医療事業特別会計繰入金,,,1,,3001,,,
,,,後期高齢者医,,1,,,,,
,,,,後期高齢者医療事業特別会計繰入金,1,,,備考: 療事業特別会 計繰入金,,
,,,後期高齢者医療事業特別会計繰入金,,,,3001,,,
,,,,後期高齢者医療事業特別会計繰入金,,,3001,,,
,,,,前年度分消費税及び地方消費税還付金分,,,3000,,,
,,,,前年度分療養給付費市負担金精算金分,,,1,,,
,,介護保険事業特別会計繰入金,,,100743,,96630,,,
,,,介護保険事業,,100743,,,,,
,,,,高齢者対策事業費充当,299,,,,,
,,,,特別会計繰入 要援護高齢者対策事業費充当,409,,,,,
,,,,金 重層的支援体制整備事業充当,100034,,,,,
,,,,その他分,1,,,,,
,,,介護保険事業特別会計繰入金,,,,96630,,,
,,,,重層的支援体制整備事業充当,,,95879,,,
,,,,介護人材確保対策事業費充当,,,750,,,
,,,,その他分,,,1,,,
,,駐車場事業特別会計繰入金,,,29000,,30000,,,
,,,駐車場事業特,,29000,,,,,
,,,,駐車場事業特別会計繰入金,29000,,,備考: 別会計繰入金,,
,,,駐車場事業特別会計繰入金,,,,30000,,,
,,,,駐車場事業特別会計繰入金,,,30000,,,
,,鈴川財産区他特別会計繰入金,,,750,,850,,,
,,,鈴川財産区他,,750,,,,,
,,,,森林被害木対策事業費充当,750,,,,,
,,,,特別会計繰入 鈴川財産区特別会計繰入金,150,,,,,
,,,,金 今井財産区特別会計繰入金,150,,,,,
,,,,大野新田財産区特別会計繰入金,150,,,,,
,,,,檜新田財産区特別会計繰入金,150,,,,,
,,,,田中新田財産区特別会計繰入金,150,,,備考: （廃目） （廃目）,,
,,,鈴川財産区他特別会計繰入金,,,,850,,,
,,,,森林被害木対策事業費充当,,,850,,,
,,,,鈴川財産区特別会計繰入金,,,170,,,
,,,,今井財産区特別会計繰入金,,,170,,,
,,,,大野新田財産区特別会計繰入金,,,170,,,
,,,,檜新田財産区特別会計繰入金,,,170,,,
,,,,田中新田財産区特別会計繰入金,,,170,,,
,基金繰入金,,,,718586,,2009536,,,
,,財政調整基金繰入金,,,300000,,1370000,,,
,,,財政調整基金,,300000,,,,,
,,,,財源調整分,300000,,,備考: 繰入金,,
,,,財政調整基金繰入金,,,,1370000,,,
,,,,財源調整分,,,900000,,,
,,,,富士山フロント工業団地第3期整備事業費分,,,470000,,,
,,育英奨学基金繰入金,,,5000,,7112,,,
,,,育英奨学基金,,5000,,,,,
,,,,育英奨学資金事業費充当,5000,,,備考: 繰入金,,
,,,育英奨学基金繰入金,,,,7112,,,
,,,,育英奨学資金事業費充当,,,7112,,,
,,福祉基金繰入金,,,24914,,13037,,,
,,,福祉基金繰入,,24914,,,,,
,,,,女性保護相談事業費充当,50,,,,,
,,,,金 社会福祉センター運営管理事業費充当,1000,,,,,
,,,,社会福祉協議会助成費充当,1500,,,,,
,,,,放課後児童クラブ施設管理費充当,1000,,,,,
,,,,子どもの貧困対策事業費充当,1044,,,,,
,,,,就労機能パワーアップ事業費充当,1500,,,,,
,,,,ふじやま学園管理費充当,4430,,,,,
,,,,こども発達センター費充当,14390,,,,,
,,,福祉基金繰入金,,,,13037,,,
,,,,女性保護相談事業費充当,,,50,,,
,,,,社会福祉センター運営管理事業費充当,,,1000,,,
,,,,社会福祉協議会助成費充当,,,1500,,,
,,,,子ども子育て支援費充当,,,4000,,,
,,,,子どもの貧困対策事業費充当,,,1003,,,
,,,,就労機能パワーアップ事業費充当,,,1500,,,
,,,,ふじやま学園管理費充当,,,1375,,,
,,,,こども発達センター費充当,,,2609,,,
,,国際交流基金繰入金,,,5500,,9767,,,
,,,国際交流基金,,5500,,,,,
,,,,海外都市交流事業費充当,5500,,,備考: 繰入金,,
,,,国際交流基金繰入金,,,,9767,,,
,,,,海外都市交流事業費充当,,,9767,,,
,,文化振興基金繰入金,,,8209,,28797,,,
,,,文化振興基金,,8209,,,,,
,,,,文化振興基金助成費充当,1800,,,,,
,,,,繰入金 文化会館自主事業助成費充当,5000,,,,,
,,,,総合体育館文化創造事業費充当,1409,,,,,
,,,文化振興基金繰入金,,,,28797,,,
,,,,市民芸術文化振興事業費充当,,,16000,,,
,,,,総合体育館文化創造事業費充当,,,767,,,
,,,,紙のアートミュージアム事業費充当,,,2230,,,
,,,,文化振興基金助成費充当,,,1800,,,
,,,,文化会館自主事業助成費充当,,,8000,,,
,,教育振興基金繰入金,,,2560,,11813,,,
,,,教育振興基金,,2560,,,,,
,,,,教育研究事業費充当,2000,,,,,
,,,,繰入金 教育研究指定校事業費充当,480,,,,,
,,,,幼稚園教育研究事業費充当,80,,,,,
,,,教育振興基金繰入金,,,,11813,,,
,,,,教育委員会運営事業費充当,,,7000,,,
,,,,教育研究事業費充当,,,3749,,,
,,,,教育研究指定校事業費充当,,,480,,,
,,,,学習成果発表事業費充当,,,504,,,
,,,,幼稚園教育研究事業費充当,,,80,,,
,,ふるさと・水と土基金繰入金,,,1000,,1000,,,
,,,ふるさと・水,,1000,,,,,
,,,,農用地地域共同活動事業費充当,1000,,,備考: と土基金繰入 金,,
,,,ふるさと・水と土基金繰入金,,,,1000,,,
,,,,農用地地域共同活動事業費充当,,,1000,,,
,,新環境クリーンセンター建設基金繰入金,,,100000,,100000,,,
,,,新環境クリー,,100000,,,,,
,,,,新環境クリーンセンター建設事業費充当,100000,,,備考: ンセンター建 設基金繰入金,,
,,,新環境クリーンセンター建設基金繰入金,,,,100000,,,
,,,,新環境クリーンセンター建設事業費充当,,,100000,,,
,,大村教育施設等整備基金繰入金,,,20000,,20000,,,
,,,大村教育施設,,20000,,,,,
,,,,古谿荘保護管理事業費充当,20000,,,備考: 等整備基金繰 入金,,
,,,大村教育施設等整備基金繰入金,,,,20000,,,
,,,,古谿荘保護管理事業費充当,,,20000,,,
,,公共建築物保全基金繰入金,,,200000,,200000,,,
,,,公共建築物保,,200000,,,,,
,,,,まちづくりセンターリニューアル事業費充当,20000,,,,,
,,,,全基金繰入金 小学校屋内運動場リニューアル事業費充当,10000,,,,,
,,,,小学校長寿命化改修事業費充当,80000,,,,,
,,,,中学校屋内運動場リニューアル事業費充当,10000,,,,,
,,,,中学校長寿命化改修事業費充当,80000,,,,,
,,,公共建築物保全基金繰入金,,,,200000,,,
,,,,まちづくりセンターリニューアル事業費充当,,,20000,,,
,,,,小学校緊急補修事業費充当,,,10000,,,
,,,,小学校屋内運動場リニューアル事業費充当,,,40000,,,
,,,,小学校長寿命化改修事業費充当,,,50000,,,
,,,,中学校長寿命化改修事業費充当,,,80000,,,
,,総合体育館建設基金繰入金,,,3515,,,,,
,,,総合体育館建,,3515,,,,,
,,,,総合体育館建設事業費充当,3515,,,備考: 設基金繰入金,,
,,ふるさと応援基金繰入金,,,1467,,1511,,,
,,,ふるさと応援,,1467,,,,,
,,,,魅力創造発信事業費充当,110,,,,,
,,,,基金繰入金 ユニバーサル就労推進事業費充当,20,,,,,
,,,,富士山麓ブナ林創造事業費充当,89,,,,,
,,,,富士山活用推進事業費充当,160,,,,,
,,,,富士山女子駅伝事業費充当,26,,,,,
,,,,花いっぱい・緑いっぱい事業費充当,105,,,,,
,,,,備蓄資機材整備事業費充当,957,,,,,
,,,ふるさと応援基金繰入金,,,,1511,,,
,,,,魅力創造発信事業費充当,,,10,,,
,,,,ユニバーサル就労推進事業費充当,,,17,,,
,,,,富士山麓ブナ林創造事業費充当,,,276,,,
,,,,富士山活用推進事業費充当,,,184,,,
,,,,スポーツイベント関連事業費充当,,,120,,,
,,,,公共交通支援事業費充当,,,366,,,
,,,,備蓄資機材整備事業費充当,,,538,,,
,,森林環境基金繰入金,,,38641,,82913,,,
,,,森林環境基金,,38641,,,,,
,,,,林業振興事業費充当,3000,,,,,
,,,,繰入金 森林経営管理事業費充当,33641,,,,,
,,,,富士ひのきの森整備事業費充当,2000,,,,,
,,,森林環境基金繰入金,,,,82913,,,
,,,,林業振興事業費充当,,,3000,,,
,,,,森林経営管理事業費充当,,,79913,,,
,,富士・愛鷹山麓地域森林機能保全基金繰入金,,,1800,,4048,,,
,,,富士・愛鷹山,,1800,,,,,
,,,,富士・愛鷹山麓地域環境管理計画推進事業費充当,1800,,,備考: 麓地域森林機 能保全基金繰 入金,,
,,,富士・愛鷹山麓地域森林機能保全基金繰入金,,,,4048,,,
,,,,富士・愛鷹山麓地域環境管理計画推進事業費充当,,,4048,,,
,,企業版ふるさと納税基金繰入金,,,5980,,43000,,,
,,,企業版ふるさ,,5980,,,,,
,,,,ＳＤＧｓ推進事業費充当,4980,,,,,
,,,,と納税基金繰 田子の浦港にぎわい推進事業費充当,1000,,,備考: 入金 （廃目）,,
,,,企業版ふるさと納税基金繰入金,,,,43000,,,
,,,,企画調査費充当,,,1000,,,
,,,,SDGs推進事業費充当,,,4000,,,
,,,,田子の浦港にぎわい推進事業費充当,,,36500,,,
,,,,備蓄資機材整備事業費充当,,,1500,,,
,,職員退職手当基金繰入金,,,,,84315,,,
,,,職員退職手当基金繰入金,,,,84315,,,
,,,,職員退職手当充当,,,84315,,,
,,防災・減災基金繰入金,,,,,32223,,,
,,,防災・減災基金繰入金,,,,32223,,,
,,,,防災危機管理事務費充当,,,505,,,
,,,,防災啓発事業費充当,,,9000,,,
,,,,備蓄資機材整備事業費充当,,,22718,,,
,繰入金,,,,,4000000,,,,
,,繰入金,,,,4000000,,,,
